Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,36:45,Sejuani,1,4,6
2023-08-13,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,37:41,Kha'Zix,3,1,7
2023-08-13,NA LCS 2023 Championship,13.14,Win,Blue,Team Liquid,32:27,Sejuani,7,0,15
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,23:33,Maokai,2,4,2
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,30:09,Nocturne,1,3,4
2023-08-11,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,25:52,Maokai,4,1,11
2023-08-11,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,23:19,Maokai,5,1,14
2023-08-11,NA LCS 2023 Championship,13.14,Win,Blue,Dignitas,31:50,Nocturne,3,1,2
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,29:07,Jarvan IV,1,6,11
2023-08-06,NA LCS 2023 Championship,13.14,Win,Blue,NRG,32:41,Jarvan IV,4,6,17
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Red,NRG,37:35,Viego,1,2,4
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,32:60,Sejuani,1,4,6
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Blue,Cloud9,25:34,Rell,0,2,2
2023-07-21,NA LCS 2023 Summer,13.13,Win,Red,100 Thieves,36:36,Vi,2,4,8
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,33:35,Kindred,4,2,7
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,Team Liquid,28:31,Viego,8,0,6
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Blue,NRG,35:55,Nautilus,0,6,9
2023-07-14,NA LCS 2023 Summer,13.13,Win,Red,Immortals,34:56,Maokai,1,5,13
2023-07-12,NA LCS 2023 Summer,13.13,Win,Blue,Evil Geniuses.NA,19:12,Vi,1,0,7
2023-07-08,NA LCS 2023 Summer,13.13,Loss,Red,TSM,27:01,Poppy,3,0,5
2023-07-06,NA LCS 2023 Summer,13.13,Win,Red,FlyQuest,35:20,Kindred,7,2,12
2023-07-05,NA LCS 2023 Summer,13.13,Win,Blue,Cloud9,27:56,Jarvan IV,6,0,9
2023-06-30,NA LCS 2023 Summer,13.12,Win,Red,Team Liquid,33:06,Viego,6,0,7
2023-06-30,NA LCS 2023 Summer,13.12,Win,Red,100 Thieves,39:48,Sejuani,2,2,10
2023-06-28,NA LCS 2023 Summer,13.12,Loss,Red,NRG,50:17,Maokai,2,5,10
2023-06-23,NA LCS 2023 Summer,13.12,Win,Blue,TSM,32:28,Vi,3,4,8
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,Immortals,26:13,Sejuani,1,1,15
2023-06-21,NA LCS 2023 Summer,13.12,Win,Red,Dignitas,33:09,Kindred,5,3,13
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,FlyQuest,36:54,Sejuani,2,3,15
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Evil Geniuses.NA,31:23,Nautilus,0,3,6
2023-06-14,NA LCS 2023 Summer,13.11,Loss,Red,Cloud9,26:37,Jax,2,2,1
2023-05-14,INT MSI 2023,13.8,Loss,Red,Cloud9,35:02,Maokai,3,5,3
2023-05-14,INT MSI 2023,13.8,Win,Red,Cloud9,35:05,Kha'Zix,8,1,5
2023-05-14,INT MSI 2023,13.8,Loss,Red,Cloud9,30:39,Viego,0,3,3
2023-05-14,INT MSI 2023,13.8,Loss,Blue,Cloud9,22:59,Maokai,0,2,1
2023-05-12,INT MSI 2023,13.8,Loss,Blue,JD Gaming,27:02,Rengar,1,6,4
2023-05-12,INT MSI 2023,13.8,Loss,Blue,JD Gaming,31:33,Vi,3,3,5
2023-05-12,INT MSI 2023,13.8,Loss,Red,JD Gaming,24:40,Sejuani,3,2,3
2023-05-07,INT MSI 2023,13.8,Win,Red,PSG Talon,34:00,Maokai,2,3,12
2023-05-07,INT MSI 2023,13.8,Win,Red,PSG Talon,32:26,Vi,1,3,14
2023-05-07,INT MSI 2023,13.8,Win,Blue,PSG Talon,33:57,Viego,3,1,6
2023-05-06,INT MSI 2023,13.8,Win,Blue,Movistar R7,23:19,Nocturne,3,2,7
2023-05-06,INT MSI 2023,13.8,Win,Blue,Movistar R7,25:12,Vi,3,1,9
2023-05-04,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,30:07,Jarvan IV,2,6,9
2023-05-04,INT MSI 2023,13.8,Win,Red,Bilibili Gaming,39:49,Gragas,5,3,13
2023-05-04,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,28:49,Kindred,2,5,3
2023-05-03,INT MSI 2023,13.8,Win,Red,GAM Esports,26:56,Viego,1,3,12
2023-05-03,INT MSI 2023,13.8,Win,Blue,GAM Esports,28:26,Viego,4,0,5
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,29:06,Wukong,3,2,1
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,26:22,Lee Sin,1,2,1
