Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,NRG,33:06,Rumble,5,2,11
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,FlyQuest,38:45,Rumble,1,7,5
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Blue,Evil Geniuses.NA,30:59,K'Sante,2,4,1
2023-07-15,NA LCS 2023 Summer,13.13,Win,Red,Dignitas,35:27,K'Sante,8,1,9
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,34:56,Poppy,1,2,2
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,100 Thieves,26:37,Ornn,0,1,6
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Blue,Cloud9,28:16,Malphite,1,6,4
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,24:54,Renekton,1,4,1
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Blue,TSM,40:04,Poppy,0,2,0
2023-07-01,NA LCS 2023 Summer,13.12,Loss,Blue,FlyQuest,23:32,K'Sante,2,4,1
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Evil Geniuses.NA,26:51,Ornn,1,2,2
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,26:11,K'Sante,2,4,1
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Blue,100 Thieves,35:58,Renekton,2,3,1
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,26:13,Ornn,2,5,6
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Blue,TSM,30:27,Sion,1,2,1
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Team Liquid,21:09,Ornn,0,4,0
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,NRG,41:00,Ornn,5,1,7
2023-06-14,NA LCS 2023 Summer,13.11,Win,Blue,Dignitas,27:31,Sion,1,0,4
2023-03-15,NA LCS 2023 Spring,13.5,Loss,Red,100 Thieves,46:60,K'Sante,0,7,9
2023-03-11,NA LCS 2023 Spring,13.4,Loss,Red,Golden Guardians,30:38,Cho'Gath,0,6,5
2023-03-09,NA LCS 2023 Spring,13.4,Win,Blue,Immortals,44:22,Sion,1,3,9
2023-03-04,NA LCS 2023 Spring,13.4,Win,Red,Team Liquid,33:26,Sion,1,0,6
2023-03-02,NA LCS 2023 Spring,13.4,Loss,Blue,Evil Geniuses.NA,43:23,Gnar,2,3,5
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Blue,Cloud9,26:37,K'Sante,2,4,1
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Red,Counter Logic Gaming,37:59,Renekton,1,6,0
2023-02-18,NA LCS 2023 Spring,13.3,Win,Red,Dignitas,31:56,K'Sante,0,0,5
2023-02-17,NA LCS 2023 Spring,13.3,Win,Blue,FlyQuest,38:17,Cho'Gath,5,5,9
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Blue,Golden Guardians,33:11,Ornn,1,3,2
2023-02-10,NA LCS 2023 Spring,13.1,Win,Blue,Counter Logic Gaming,32:59,Sion,3,1,15
2023-02-09,NA LCS 2023 Spring,13.1,Loss,Red,Cloud9,34:45,Gnar,2,3,3
2023-02-04,NA LCS 2023 Spring,13.1,Loss,Blue,100 Thieves,30:02,Gangplank,0,4,1
2023-02-03,NA LCS 2023 Spring,13.1,Loss,Red,Evil Geniuses.NA,27:29,K'Sante,2,4,2
2023-01-28,NA LCS 2023 Spring,13.1,Win,Red,Team Liquid,40:07,Ornn,0,2,11
2023-01-27,NA LCS 2023 Spring,13.1,Win,Red,Immortals,31:34,K'Sante,1,1,8
