Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,25:35,Ivern,0,3,3
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,Immortals,38:45,Ivern,0,2,16
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,TSM,24:59,Amumu,2,1,7
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,30:01,Rell,3,3,14
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,Evil Geniuses.NA,24:23,Rell,2,1,20
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Blue,NRG,27:27,Ivern,0,1,6
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Dignitas,31:34,Viego,7,3,3
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,35:20,Sejuani,0,5,7
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Red,100 Thieves,29:49,Maokai,1,2,5
2023-07-01,NA LCS 2023 Summer,13.12,Win,Red,Immortals,23:32,Ivern,1,0,10
2023-06-29,NA LCS 2023 Summer,13.12,Win,Red,NRG,36:45,Sejuani,1,0,5
2023-06-28,NA LCS 2023 Summer,13.12,Win,Blue,Team Liquid,44:10,Sejuani,2,0,6
2023-06-24,NA LCS 2023 Summer,13.12,Loss,Blue,Dignitas,25:39,Ivern,0,3,7
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Red,Evil Geniuses.NA,36:30,Maokai,3,3,4
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,28:24,Vi,2,3,2
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Golden Guardians,36:54,Viego,7,2,6
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,TSM,33:43,Rek'Sai,1,3,2
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,100 Thieves,30:31,Maokai,0,4,0
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,28:47,Elise,3,4,1
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,31:09,Gragas,0,3,3
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,30:18,Maokai,2,0,8
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,38:16,Vi,3,8,0
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,32:51,Maokai,3,1,14
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,36:55,Maokai,4,4,6
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,34:51,Sejuani,0,3,4
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,32:16,Wukong,2,5,3
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Red,100 Thieves,30:48,Maokai,1,2,11
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,100 Thieves,37:23,Wukong,4,2,14
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,100 Thieves,30:42,Wukong,4,0,6
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Blue,Cloud9,29:25,Xin Zhao,4,4,4
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,TSM,30:30,Vi,2,1,4
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,Golden Guardians,27:48,Elise,3,3,11
2023-03-15,NA LCS 2023 Spring,13.5,Loss,Red,Cloud9,26:36,Sejuani,0,2,2
2023-03-10,NA LCS 2023 Spring,13.4,Win,Blue,Immortals,33:07,Vi,3,6,10
2023-03-09,NA LCS 2023 Spring,13.4,Loss,Blue,Team Liquid,26:31,Sejuani,0,4,4
2023-03-03,NA LCS 2023 Spring,13.4,Loss,Red,Evil Geniuses.NA,39:47,Sejuani,1,2,4
2023-03-02,NA LCS 2023 Spring,13.4,Win,Blue,Counter Logic Gaming,37:28,Vi,11,0,9
2023-02-25,NA LCS 2023 Spring,13.3,Win,Red,Dignitas,35:37,Amumu,2,2,13
2023-02-23,NA LCS 2023 Spring,13.3,Win,Blue,100 Thieves,33:41,Vi,0,3,10
2023-02-17,NA LCS 2023 Spring,13.3,Win,Red,Counter Logic Gaming,29:41,Maokai,1,1,8
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Red,TSM,38:17,Maokai,3,6,4
2023-02-15,NA LCS 2023 Spring,13.3,Win,Blue,Immortals,28:13,Maokai,2,0,7
2023-02-10,NA LCS 2023 Spring,13.1,Win,Red,100 Thieves,30:50,Sejuani,4,2,17
2023-02-09,NA LCS 2023 Spring,13.1,Win,Blue,Evil Geniuses.NA,32:31,Amumu,3,2,12
2023-02-03,NA LCS 2023 Spring,13.1,Win,Blue,Cloud9,29:58,Amumu,2,1,9
2023-02-02,NA LCS 2023 Spring,13.1,Win,Red,Golden Guardians,38:11,Wukong,2,1,4
2023-01-28,NA LCS 2023 Spring,13.1,Win,Blue,Dignitas,28:55,Maokai,1,0,9
2023-01-27,NA LCS 2023 Spring,13.1,Win,Red,Team Liquid,31:36,Maokai,4,2,8
