Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-31,NA NACL 2023 Summer Playoffs,13.14,Loss,Red,Evil Geniuses Challengers,33:25,Azir,2,1,4
2023-07-31,NA NACL 2023 Summer Playoffs,13.14,Win,Red,Evil Geniuses Challengers,21:07,Jayce,4,1,4
2023-07-31,NA NACL 2023 Summer Playoffs,13.14,Loss,Red,Evil Geniuses Challengers,32:03,Yasuo,0,3,3
2023-07-31,NA NACL 2023 Summer Playoffs,13.14,Loss,Blue,Evil Geniuses Challengers,36:14,Azir,1,2,0
2023-07-29,NA NACL 2023 Summer Playoffs,13.14,Win,Red,Wildcard Gaming,29:23,Azir,6,1,14
2023-07-29,NA NACL 2023 Summer Playoffs,13.14,Loss,Red,Wildcard Gaming,32:24,Azir,6,4,5
2023-07-29,NA NACL 2023 Summer Playoffs,13.14,Win,Red,Wildcard Gaming,34:30,Azir,3,2,4
2023-07-24,NA NACL 2023 Summer Playoffs,13.14,Loss,Red,Disguised,33:29,Jayce,2,2,3
2023-07-24,NA NACL 2023 Summer Playoffs,13.14,Win,Blue,Disguised,31:29,Yone,6,3,8
2023-07-24,NA NACL 2023 Summer Playoffs,13.14,Loss,Blue,Disguised,34:48,Yone,4,2,9
2023-07-23,NA NACL 2023 Summer Playoffs,13.14,Win,Red,Evil Geniuses Challengers,35:00,Azir,4,1,8
2023-07-23,NA NACL 2023 Summer Playoffs,13.14,Win,Blue,Evil Geniuses Challengers,36:42,Yone,6,4,3
2023-07-17,NA NACL 2023 Summer,13.13,Win,Red,Supernova,33:07,Sylas,10,7,13
2023-07-17,NA NACL 2023 Summer,13.13,Win,Red,Supernova,29:25,Jayce,11,3,4
2023-07-16,NA NACL 2023 Summer,13.13,Win,Red,Team Fish Taco,30:41,Azir,5,5,7
2023-07-16,NA NACL 2023 Summer,13.13,Win,Blue,Team Fish Taco,32:07,Yone,4,2,7
2023-07-15,NA NACL 2023 Summer,13.13,Win,Red,Maryville University,23:31,Ahri,7,2,8
2023-07-15,NA NACL 2023 Summer,13.13,Win,Red,Maryville University,21:41,Azir,2,1,8
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Blue,NRG,27:27,Jayce,3,2,3
2023-07-11,NA NACL 2023 Summer,13.13,Loss,Red,Evil Geniuses Challengers,34:44,Jayce,3,4,4
2023-07-11,NA NACL 2023 Summer,13.13,Loss,Blue,Evil Geniuses Challengers,37:03,Azir,1,2,2
2023-07-10,NA NACL 2023 Summer,13.13,Win,Blue,Wildcard Gaming,30:41,Neeko,3,1,13
2023-07-10,NA NACL 2023 Summer,13.13,Win,Red,Wildcard Gaming,29:42,Tristana,10,2,8
2023-07-09,NA NACL 2023 Summer,13.13,Win,Red,AOE Gold,37:06,Azir,6,2,5
2023-07-09,NA NACL 2023 Summer,13.13,Win,Blue,AOE Gold,28:39,Azir,2,1,8
2023-07-04,NA NACL 2023 Summer,13.12,Loss,Blue,Cincinnati Fear,30:38,Karma,2,7,4
2023-07-03,NA NACL 2023 Summer,13.12,Win,Red,Cincinnati Fear,23:31,Kai'Sa,10,3,4
2023-07-03,NA NACL 2023 Summer,13.12,Win,Blue,Team Liquid Challengers,28:49,Azir,17,1,5
2023-07-03,NA NACL 2023 Summer,13.12,Loss,Blue,Team Liquid Challengers,31:38,Jayce,2,4,1
2023-07-01,NA NACL 2023 Summer,13.12,Win,Blue,Disguised,23:39,Jayce,10,1,5
2023-07-01,NA NACL 2023 Summer,13.12,Win,Red,Disguised,29:52,Tristana,8,2,6
2023-06-26,NA NACL 2023 Summer,13.12,Loss,Red,Maryville University,32:56,Ahri,8,4,2
2023-06-26,NA NACL 2023 Summer,13.12,Loss,Blue,Maryville University,38:10,LeBlanc,2,5,8
2023-06-25,NA NACL 2023 Summer,13.12,Win,Blue,Wildcard Gaming,22:09,LeBlanc,2,0,8
2023-06-25,NA NACL 2023 Summer,13.12,Loss,Red,Wildcard Gaming,29:28,Azir,1,3,3
2023-06-24,NA NACL 2023 Summer,13.12,Loss,Red,Supernova,22:45,Annie,0,4,0
2023-06-24,NA NACL 2023 Summer,13.12,Win,Blue,Supernova,30:11,Jayce,4,2,6
2023-06-19,NA NACL 2023 Summer,13.11,Win,Blue,Evil Geniuses Challengers,24:48,Neeko,4,0,7
2023-06-19,NA NACL 2023 Summer,13.11,Win,Red,Evil Geniuses Challengers,25:31,Gragas,3,0,6
2023-06-18,NA NACL 2023 Summer,13.11,Win,Blue,Team Fish Taco,26:47,Neeko,6,4,10
2023-06-18,NA NACL 2023 Summer,13.11,Loss,Red,Team Fish Taco,23:55,Syndra,2,7,2
2023-06-17,NA NACL 2023 Summer,13.11,Win,Red,AOE Gold,35:24,Annie,2,4,12
2023-06-17,NA NACL 2023 Summer,13.11,Win,Blue,AOE Gold,34:22,Gragas,2,5,3
2023-06-12,NA NACL 2023 Summer,13.11,Loss,Blue,Team Liquid Challengers,27:19,Azir,4,3,7
2023-06-12,NA NACL 2023 Summer,13.11,Loss,Red,Team Liquid Challengers,24:22,Annie,4,5,4
2023-06-11,NA NACL 2023 Summer,13.11,Loss,Red,Disguised,28:56,Azir,2,3,2
2023-06-11,NA NACL 2023 Summer,13.11,Win,Blue,Disguised,30:44,Annie,0,3,5
2023-06-10,NA NACL 2023 Summer,13.11,Win,Blue,Cincinnati Fear,24:19,Neeko,0,4,6
2023-06-10,NA NACL 2023 Summer,13.11,Win,Blue,Cincinnati Fear,30:19,Annie,1,6,13
2023-03-21,NA NACL 2023 Spring Playoffs,13.5,Loss,Red,Cincinnati Fear,28:60,Yone,2,3,1
