Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,32:05,Ornn,1,2,2
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,32:18,K'Sante,0,2,1
2023-08-04,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,27:36,Ornn,2,1,9
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,41:44,K'Sante,0,0,7
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Red,Dignitas,28:12,K'Sante,0,3,4
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,36:36,K'Sante,1,5,8
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,NRG,35:08,Renekton,3,1,6
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,Dignitas,42:34,Gwen,2,5,1
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,TSM,23:59,K'Sante,3,0,7
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,27:08,Kennen,2,4,1
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Blue,Immortals,26:37,Jax,1,2,0
2023-07-08,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,27:42,Renekton,1,2,1
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Evil Geniuses.NA,23:52,K'Sante,1,2,3
2023-07-05,NA LCS 2023 Summer,13.13,Win,Blue,FlyQuest,29:49,Malphite,2,1,8
2023-06-30,NA LCS 2023 Summer,13.12,Win,Blue,TSM,33:07,K'Sante,1,1,9
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,39:48,Renekton,1,3,3
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Dignitas,33:08,K'Sante,5,0,6
2023-06-23,NA LCS 2023 Summer,13.12,Win,Red,Immortals,35:58,Ornn,0,1,8
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,Cloud9,26:46,Sion,0,3,1
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,Evil Geniuses.NA,27:44,K'Sante,1,1,2
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Red,NRG,34:34,Renekton,0,4,0
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,Team Liquid,32:32,K'Sante,0,4,0
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,FlyQuest,30:31,Renekton,6,0,2
2023-03-31,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,33:26,Malphite,0,2,0
2023-03-31,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,24:16,Sion,1,2,1
2023-03-31,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,32:33,K'Sante,0,2,0
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,41:32,K'Sante,2,1,9
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,34:25,Malphite,2,1,7
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,34:52,Malphite,0,1,11
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Blue,100 Thieves,40:31,K'Sante,3,4,5
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Blue,Team Liquid,42:09,K'Sante,6,2,6
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Red,100 Thieves,41:30,K'Sante,1,1,3
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Blue,Immortals,27:51,Sion,0,3,0
2023-03-11,NA LCS 2023 Spring,13.4,Win,Blue,Counter Logic Gaming,38:14,Sion,2,0,11
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Red,Cloud9,35:07,K'Sante,2,0,4
2023-03-03,NA LCS 2023 Spring,13.4,Win,Blue,FlyQuest,39:47,Garen,6,0,4
2023-03-02,NA LCS 2023 Spring,13.4,Win,Red,TSM,43:23,Renekton,1,4,9
2023-02-25,NA LCS 2023 Spring,13.3,Loss,Red,Golden Guardians,32:43,Jax,3,1,2
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Blue,Dignitas,36:48,Gragas,0,5,2
2023-02-17,NA LCS 2023 Spring,13.3,Win,Red,Immortals,32:56,Sion,2,1,13
2023-02-16,NA LCS 2023 Spring,13.3,Win,Blue,Team Liquid,44:47,Fiora,9,2,4
2023-02-15,NA LCS 2023 Spring,13.3,Win,Blue,100 Thieves,45:07,Renekton,2,0,3
2023-02-10,NA LCS 2023 Spring,13.1,Win,Blue,Cloud9,38:50,K'Sante,0,0,7
2023-02-09,NA LCS 2023 Spring,13.1,Loss,Red,FlyQuest,32:31,Jayce,1,2,2
2023-02-03,NA LCS 2023 Spring,13.1,Win,Red,Dignitas,26:54,Fiora,2,0,4
2023-02-03,NA LCS 2023 Spring,13.1,Win,Blue,TSM,27:29,Gwen,5,2,8
2023-01-27,NA LCS 2023 Spring,13.1,Loss,Red,Counter Logic Gaming,44:11,K'Sante,1,2,5
2023-01-26,NA LCS 2023 Spring,13.1,Win,Blue,Golden Guardians,43:02,Jax,4,6,3
