Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,36:45,Ezreal,3,3,6
2023-08-13,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,37:41,Kai'Sa,7,3,3
2023-08-13,NA LCS 2023 Championship,13.14,Win,Blue,Team Liquid,32:27,Xayah,10,3,2
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,23:33,Zeri,1,4,1
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,30:09,Ezreal,8,1,2
2023-08-11,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,25:52,Ezreal,3,1,9
2023-08-11,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,23:19,Ezreal,8,1,13
2023-08-11,NA LCS 2023 Championship,13.14,Win,Blue,Dignitas,31:50,Aphelios,2,0,4
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,29:07,Kai'Sa,9,2,1
2023-08-06,NA LCS 2023 Championship,13.14,Win,Blue,NRG,32:41,Kai'Sa,12,2,8
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Red,NRG,37:35,Tristana,1,2,2
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,32:60,Zeri,4,2,3
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Blue,Cloud9,25:34,Kai'Sa,0,2,1
2023-07-21,NA LCS 2023 Summer,13.13,Win,Red,100 Thieves,36:36,Xayah,5,2,6
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,33:35,Kai'Sa,8,0,6
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,Team Liquid,28:31,Ashe,1,0,6
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Blue,NRG,35:55,Kai'Sa,6,1,5
2023-07-14,NA LCS 2023 Summer,13.13,Win,Red,Immortals,34:56,Aphelios,5,3,5
2023-07-12,NA LCS 2023 Summer,13.13,Win,Blue,Evil Geniuses.NA,19:12,Xayah,2,1,6
2023-07-08,NA LCS 2023 Summer,13.13,Loss,Red,TSM,27:01,Ashe,2,2,5
2023-07-06,NA LCS 2023 Summer,13.13,Win,Red,FlyQuest,35:20,Aphelios,7,3,6
2023-07-05,NA LCS 2023 Summer,13.13,Win,Blue,Cloud9,27:56,Aphelios,5,1,3
2023-06-30,NA LCS 2023 Summer,13.12,Win,Red,Team Liquid,33:06,Aphelios,3,1,5
2023-06-30,NA LCS 2023 Summer,13.12,Win,Red,100 Thieves,39:48,Aphelios,6,1,3
2023-06-28,NA LCS 2023 Summer,13.12,Loss,Red,NRG,50:17,Tristana,6,2,4
2023-06-23,NA LCS 2023 Summer,13.12,Win,Blue,TSM,32:28,Aphelios,8,2,1
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,Immortals,26:13,Varus,8,4,11
2023-06-21,NA LCS 2023 Summer,13.12,Win,Red,Dignitas,33:09,Varus,4,1,10
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,FlyQuest,36:54,Aphelios,5,4,9
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Evil Geniuses.NA,31:23,Lucian,5,2,2
2023-06-14,NA LCS 2023 Summer,13.11,Loss,Red,Cloud9,26:37,Lucian,1,2,1
2023-05-14,INT MSI 2023,13.8,Loss,Red,Cloud9,35:02,Zeri,2,3,3
2023-05-14,INT MSI 2023,13.8,Win,Red,Cloud9,35:05,Zeri,9,2,6
2023-05-14,INT MSI 2023,13.8,Loss,Red,Cloud9,30:39,Aphelios,3,3,1
2023-05-14,INT MSI 2023,13.8,Loss,Blue,Cloud9,22:59,Jinx,1,3,0
2023-05-12,INT MSI 2023,13.8,Loss,Blue,JD Gaming,27:02,Jinx,4,4,1
2023-05-12,INT MSI 2023,13.8,Loss,Blue,JD Gaming,31:33,Tristana,4,3,3
2023-05-12,INT MSI 2023,13.8,Loss,Red,JD Gaming,24:40,Aphelios,3,3,2
2023-05-07,INT MSI 2023,13.8,Win,Red,PSG Talon,34:00,Zeri,10,1,2
2023-05-07,INT MSI 2023,13.8,Win,Red,PSG Talon,32:26,Zeri,9,1,6
2023-05-07,INT MSI 2023,13.8,Win,Blue,PSG Talon,33:57,Kai'Sa,6,0,4
2023-05-06,INT MSI 2023,13.8,Win,Blue,Movistar R7,23:19,Lucian,8,2,6
2023-05-06,INT MSI 2023,13.8,Win,Blue,Movistar R7,25:12,Aphelios,7,1,1
2023-05-04,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,30:07,Jinx,1,8,5
2023-05-04,INT MSI 2023,13.8,Win,Red,Bilibili Gaming,39:49,Xayah,6,5,7
2023-05-04,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,28:49,Jinx,3,2,3
2023-05-03,INT MSI 2023,13.8,Win,Red,GAM Esports,26:56,Tristana,11,1,3
2023-05-03,INT MSI 2023,13.8,Win,Blue,GAM Esports,28:26,Zeri,6,0,12
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,29:06,Lucian,1,4,2
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,26:22,Zeri,0,3,0
