Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,36:45,Gwen,4,1,7
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Golden Guardians,37:41,Ornn,1,6,2
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Red,Golden Guardians,32:27,Jax,1,3,5
2023-08-13,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,23:33,Aatrox,1,4,5
2023-08-13,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,30:09,Fiora,1,4,1
2023-08-10,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,24:17,K'Sante,0,2,8
2023-08-10,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,30:37,K'Sante,3,3,3
2023-08-10,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,21:09,K'Sante,6,1,7
2023-08-10,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,27:13,Jax,9,0,4
2023-08-05,NA LCS 2023 Championship,13.14,Win,Red,100 Thieves,32:05,Jax,1,1,3
2023-08-04,NA LCS 2023 Championship,13.14,Win,Red,100 Thieves,32:18,Fiora,1,2,4
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Blue,100 Thieves,27:36,K'Sante,2,2,3
2023-08-04,NA LCS 2023 Championship,13.14,Win,Blue,100 Thieves,41:44,Kennen,0,5,3
2023-07-29,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,29:52,Jax,2,3,2
2023-07-28,NA LCS 2023 Championship,13.14,Win,Blue,NRG,35:32,Jax,6,2,10
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,37:41,Kennen,3,3,7
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,45:05,Gnar,3,5,1
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,33:25,Ornn,3,2,8
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Blue,Evil Geniuses.NA,34:32,Renekton,1,6,3
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,28:31,Rumble,3,3,1
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,FlyQuest,30:01,Gnar,4,8,9
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Blue,TSM,38:27,LeBlanc,7,5,3
2023-07-12,NA LCS 2023 Summer,13.13,Win,Red,Cloud9,38:33,Kennen,2,6,4
2023-07-08,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,27:42,Rumble,7,3,6
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,Immortals,24:54,Rumble,6,1,4
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Red,NRG,31:01,Fiora,2,1,1
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,33:06,K'Sante,1,3,2
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Cloud9,28:18,Ornn,2,0,7
2023-06-28,NA LCS 2023 Summer,13.12,Loss,Red,FlyQuest,44:10,Renekton,3,3,6
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Blue,Evil Geniuses.NA,38:06,Gnar,2,5,1
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Red,Dignitas,40:28,Gnar,2,7,11
2023-06-21,NA LCS 2023 Summer,13.12,Win,Blue,NRG,31:01,Kennen,4,2,12
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,Immortals,21:09,Jax,2,0,4
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,100 Thieves,32:32,Jax,3,1,3
2023-06-14,NA LCS 2023 Summer,13.11,Win,Blue,TSM,29:57,Kennen,9,2,9
2023-03-17,NA LCS 2023 Spring,13.5,Win,Red,Evil Geniuses.NA,42:09,Fiora,5,3,6
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Red,Counter Logic Gaming,41:09,Sion,0,3,6
2023-03-16,NA LCS 2023 Spring,13.5,Win,Blue,Dignitas,31:38,Sejuani,1,2,3
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Red,Cloud9,29:09,Cho'Gath,1,4,1
2023-03-09,NA LCS 2023 Spring,13.4,Win,Red,FlyQuest,26:31,Cho'Gath,1,3,9
2023-03-04,NA LCS 2023 Spring,13.4,Loss,Blue,TSM,33:26,Gnar,1,3,0
2023-03-03,NA LCS 2023 Spring,13.4,Win,Red,Golden Guardians,30:38,Gragas,3,0,7
2023-02-25,NA LCS 2023 Spring,13.3,Loss,Red,100 Thieves,41:35,Sion,2,3,4
2023-02-23,NA LCS 2023 Spring,13.3,Win,Blue,Immortals,28:07,Gnar,1,1,11
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Red,Cloud9,41:33,Sion,2,2,4
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Red,Evil Geniuses.NA,44:47,Gnar,3,4,3
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Blue,Counter Logic Gaming,31:54,Gnar,3,5,2
2023-02-11,NA LCS 2023 Spring,13.1,Win,Red,Dignitas,24:11,K'Sante,4,1,6
2023-02-10,NA LCS 2023 Spring,13.1,Loss,Blue,100 Thieves,37:49,Renekton,1,6,2
2023-02-04,NA LCS 2023 Spring,13.1,Win,Blue,Golden Guardians,40:08,Aatrox,6,3,9
