Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,NRG,33:06,Kalista,7,2,4
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,FlyQuest,38:45,Xayah,6,3,2
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Blue,Evil Geniuses.NA,30:59,Kai'Sa,2,3,3
2023-07-15,NA LCS 2023 Summer,13.13,Win,Red,Dignitas,35:27,Aphelios,10,1,8
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,34:56,Jinx,6,4,4
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,100 Thieves,26:37,Xayah,11,1,5
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Blue,Cloud9,28:16,Kai'Sa,6,4,3
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,24:54,Ezreal,1,5,2
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Blue,TSM,40:04,Kog'Maw,5,2,4
2023-07-01,NA LCS 2023 Summer,13.12,Loss,Blue,FlyQuest,23:32,Xayah,1,2,2
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Evil Geniuses.NA,26:51,Jinx,3,5,1
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,26:11,Aphelios,1,4,3
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Blue,100 Thieves,35:58,Jinx,2,1,2
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,26:13,Aphelios,5,3,3
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Blue,TSM,30:27,Varus,1,2,2
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Team Liquid,21:09,Aphelios,0,4,1
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,NRG,41:00,Aphelios,8,5,8
2023-06-14,NA LCS 2023 Summer,13.11,Win,Blue,Dignitas,27:31,Aphelios,4,0,3
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Red,100 Thieves,30:17,Xayah,1,4,3
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Red,Cloud9,27:11,Kalista,1,2,3
2023-03-16,NA LCS 2023 Spring,13.5,Win,Red,Evil Geniuses.NA,27:51,Varus,4,1,7
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Red,FlyQuest,33:07,Xayah,5,3,5
2023-03-09,NA LCS 2023 Spring,13.4,Loss,Red,TSM,44:22,Varus,3,5,5
2023-03-04,NA LCS 2023 Spring,13.4,Loss,Blue,Golden Guardians,34:01,Zeri,4,2,4
2023-03-03,NA LCS 2023 Spring,13.4,Win,Red,Dignitas,46:51,Xayah,9,2,7
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Blue,Counter Logic Gaming,33:19,Miss Fortune,4,4,3
2023-02-23,NA LCS 2023 Spring,13.3,Loss,Red,Team Liquid,28:07,Xayah,0,2,1
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Blue,Evil Geniuses.NA,32:56,Aphelios,1,2,1
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Blue,Cloud9,28:50,Sivir,1,2,1
2023-02-15,NA LCS 2023 Spring,13.3,Loss,Red,FlyQuest,28:13,Lucian,1,3,1
2023-02-11,NA LCS 2023 Spring,13.1,Loss,Red,Golden Guardians,30:26,Lucian,0,2,2
2023-02-10,NA LCS 2023 Spring,13.1,Win,Blue,Dignitas,39:31,Zeri,8,0,5
2023-02-04,NA LCS 2023 Spring,13.1,Win,Red,Counter Logic Gaming,36:27,Lucian,6,3,7
2023-02-03,NA LCS 2023 Spring,13.1,Loss,Blue,Team Liquid,26:36,Draven,1,3,1
2023-01-28,NA LCS 2023 Spring,13.1,Loss,Red,100 Thieves,28:21,Sivir,1,3,3
2023-01-27,NA LCS 2023 Spring,13.1,Loss,Blue,TSM,31:34,Draven,0,3,1
