Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-11,NA LCS 2023 Championship,13.14,Loss,Blue,Golden Guardians,25:52,Kai'Sa,6,1,2
2023-08-11,NA LCS 2023 Championship,13.14,Loss,Blue,Golden Guardians,23:19,Zeri,2,5,3
2023-08-11,NA LCS 2023 Championship,13.14,Loss,Red,Golden Guardians,31:50,Xayah,1,2,3
2023-08-04,NA LCS 2023 Championship,13.14,Win,Blue,TSM,35:36,Xayah,4,4,8
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Blue,TSM,45:33,Xayah,4,5,6
2023-08-03,NA LCS 2023 Championship,13.14,Win,Blue,TSM,23:09,Ziggs,1,1,6
2023-08-03,NA LCS 2023 Championship,13.14,Loss,Red,TSM,39:24,Zeri,7,3,7
2023-08-03,NA LCS 2023 Championship,13.14,Win,Red,TSM,26:49,Zeri,9,0,5
2023-07-22,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,28:12,Kai'Sa,6,0,8
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,33:25,Kai'Sa,2,2,5
2023-07-21,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,33:35,Varus,2,3,1
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,42:34,Kai'Sa,4,1,6
2023-07-15,NA LCS 2023 Summer,13.13,Loss,Blue,Immortals,35:27,Kai'Sa,6,3,2
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Red,NRG,43:50,Ashe,2,5,8
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Blue,TSM,29:13,Aphelios,4,2,0
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,FlyQuest,31:34,Ashe,1,4,8
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,30:02,Aphelios,2,3,4
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Blue,Evil Geniuses.NA,33:04,Ziggs,3,4,8
2023-06-30,NA LCS 2023 Summer,13.12,Win,Blue,NRG,34:29,Xayah,5,2,3
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,TSM,31:47,Kai'Sa,6,1,8
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,100 Thieves,33:08,Varus,5,3,1
2023-06-24,NA LCS 2023 Summer,13.12,Win,Red,FlyQuest,25:39,Aphelios,5,2,4
2023-06-22,NA LCS 2023 Summer,13.12,Win,Blue,Team Liquid,40:28,Aphelios,9,8,5
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,33:09,Ashe,1,4,8
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,Evil Geniuses.NA,35:42,Xayah,4,1,8
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,Cloud9,27:24,Jinx,2,8,4
2023-06-14,NA LCS 2023 Summer,13.11,Loss,Red,Immortals,27:31,Jinx,0,1,1
2023-03-18,NA LCS 2023 Spring,13.5,Win,Blue,Golden Guardians,40:24,Zeri,3,2,8
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Red,TSM,29:28,Lucian,2,5,2
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Red,Team Liquid,31:38,Varus,1,3,3
2023-03-11,NA LCS 2023 Spring,13.4,Loss,Blue,100 Thieves,28:21,Aphelios,0,3,2
2023-03-10,NA LCS 2023 Spring,13.4,Win,Red,Counter Logic Gaming,45:27,Aphelios,4,5,9
2023-03-03,NA LCS 2023 Spring,13.4,Loss,Red,Cloud9,30:14,Ezreal,2,2,4
2023-03-03,NA LCS 2023 Spring,13.4,Loss,Blue,Immortals,46:51,Caitlyn,9,3,7
2023-02-25,NA LCS 2023 Spring,13.3,Loss,Blue,FlyQuest,35:37,Zeri,5,4,2
2023-02-24,NA LCS 2023 Spring,13.3,Win,Red,Evil Geniuses.NA,36:48,Lucian,6,1,5
2023-02-20,NA NACL 2023 Spring,13.3,Loss,Red,100 Thieves Challengers,27:34,Lucian,1,2,0
2023-02-20,NA NACL 2023 Spring,13.3,Win,Blue,100 Thieves Challengers,29:28,Sivir,2,0,6
2023-02-18,NA NACL 2023 Spring,13.3,Loss,Blue,Wildcard Gaming,35:21,Varus,1,5,7
2023-02-18,NA NACL 2023 Spring,13.3,Win,Blue,Wildcard Gaming,23:02,Xayah,4,0,1
2023-02-13,NA NACL 2023 Spring,13.1,Win,Blue,FlyQuest Challengers,24:34,Lucian,4,1,7
2023-02-13,NA NACL 2023 Spring,13.1,Win,Blue,FlyQuest Challengers,34:43,Lucian,3,3,3
2023-02-12,NA NACL 2023 Spring,13.1,Win,Blue,Cincinnati Fear,32:07,Lucian,6,4,8
2023-02-12,NA NACL 2023 Spring,13.1,Win,Blue,Cincinnati Fear,23:53,Zeri,7,2,9
2023-02-06,NA NACL 2023 Spring,13.1,Win,Blue,Evil Geniuses Challengers,26:35,Lucian,6,0,8
2023-02-06,NA NACL 2023 Spring,13.1,Win,Red,Evil Geniuses Challengers,29:07,Varus,3,1,2
2023-02-05,NA NACL 2023 Spring,13.1,Win,Blue,FLY FAM,25:59,Lucian,5,2,2
2023-02-05,NA NACL 2023 Spring,13.1,Win,Red,FLY FAM,26:46,Lucian,5,1,6
2023-01-31,NA NACL 2023 Spring,13.1,Win,Blue,CLG Faith,19:36,Jhin,5,1,10
2023-01-31,NA NACL 2023 Spring,13.1,Win,Red,CLG Faith,19:11,Jhin,7,0,4
