Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,NRG,33:06,Renata Glasc,2,5,15
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Red,FlyQuest,38:45,Rell,1,3,7
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Blue,Evil Geniuses.NA,30:59,Alistar,1,6,4
2023-07-15,NA LCS 2023 Summer,13.13,Win,Red,Dignitas,35:27,Rell,2,3,18
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,34:56,Rell,1,4,12
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,100 Thieves,26:37,Rell,2,1,14
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Blue,Cloud9,28:16,Nautilus,0,4,6
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,24:54,Karma,1,2,2
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Blue,TSM,40:04,Braum,0,4,9
2023-07-01,NA LCS 2023 Summer,13.12,Loss,Blue,FlyQuest,23:32,Rell,0,3,4
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Evil Geniuses.NA,26:51,Braum,1,3,4
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,26:11,Alistar,2,4,4
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Blue,100 Thieves,35:58,Milio,0,1,5
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,26:13,Rakan,0,7,5
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Blue,TSM,30:27,Nautilus,1,4,2
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Team Liquid,21:09,Milio,0,1,1
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,NRG,41:00,Nautilus,0,8,8
2023-06-14,NA LCS 2023 Summer,13.11,Win,Blue,Dignitas,27:31,Milio,1,0,7
