Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,25:35,Sylas,1,3,1
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,Immortals,38:45,Yone,7,4,7
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,TSM,24:59,Jayce,6,1,5
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,30:01,Yone,9,5,4
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,Evil Geniuses.NA,24:23,Jayce,12,3,10
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Dignitas,31:34,Annie,0,5,7
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,35:20,Azir,0,5,5
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Red,100 Thieves,29:49,Tristana,1,3,2
2023-07-01,NA LCS 2023 Summer,13.12,Win,Red,Immortals,23:32,Azir,3,2,8
2023-06-29,NA LCS 2023 Summer,13.12,Win,Red,NRG,36:45,Tristana,3,1,0
2023-06-28,NA LCS 2023 Summer,13.12,Win,Blue,Team Liquid,44:10,Tristana,4,4,5
2023-06-24,NA LCS 2023 Summer,13.12,Loss,Blue,Dignitas,25:39,Azir,4,3,3
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Red,Evil Geniuses.NA,36:30,Jayce,2,6,7
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,28:24,Azir,0,4,2
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Golden Guardians,36:54,Annie,3,4,10
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,TSM,33:43,Annie,2,4,1
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,100 Thieves,30:31,Jayce,0,3,0
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,28:47,Jayce,1,5,3
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,31:09,Sylas,3,2,2
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,30:18,Jayce,4,3,7
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,38:16,Taliyah,2,7,0
2023-04-08,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,32:51,Jayce,11,2,10
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,36:55,Tristana,0,7,7
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,34:51,Veigar,1,4,2
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,32:16,Viktor,3,2,3
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Red,100 Thieves,30:48,Veigar,8,2,4
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,100 Thieves,37:23,Taliyah,6,2,10
2023-03-23,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,100 Thieves,30:42,Veigar,9,1,6
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Blue,Cloud9,29:25,Ahri,6,4,3
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,TSM,30:30,Annie,2,2,7
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,Golden Guardians,27:48,Tristana,6,4,11
2023-03-15,NA LCS 2023 Spring,13.5,Loss,Red,Cloud9,26:36,Akali,1,4,1
2023-03-10,NA LCS 2023 Spring,13.4,Win,Blue,Immortals,33:07,Ahri,5,0,8
2023-03-09,NA LCS 2023 Spring,13.4,Loss,Blue,Team Liquid,26:31,Sylas,0,4,2
2023-03-03,NA LCS 2023 Spring,13.4,Loss,Red,Evil Geniuses.NA,39:47,Taliyah,3,5,3
2023-03-02,NA LCS 2023 Spring,13.4,Win,Blue,Counter Logic Gaming,37:28,Annie,2,4,12
2023-02-25,NA LCS 2023 Spring,13.3,Win,Red,Dignitas,35:37,Akali,6,2,5
2023-02-23,NA LCS 2023 Spring,13.3,Win,Blue,100 Thieves,33:41,Swain,1,5,14
2023-02-17,NA LCS 2023 Spring,13.3,Win,Red,Counter Logic Gaming,29:41,Yone,5,2,5
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Red,TSM,38:17,Jayce,2,3,6
2023-02-15,NA LCS 2023 Spring,13.3,Win,Blue,Immortals,28:13,Azir,4,1,4
2023-02-10,NA LCS 2023 Spring,13.1,Win,Red,100 Thieves,30:50,Sylas,7,1,9
2023-02-09,NA LCS 2023 Spring,13.1,Win,Blue,Evil Geniuses.NA,32:31,Irelia,2,5,8
2023-02-03,NA LCS 2023 Spring,13.1,Win,Blue,Cloud9,29:58,Sylas,7,1,3
2023-02-02,NA LCS 2023 Spring,13.1,Win,Red,Golden Guardians,38:11,Viktor,0,1,2
2023-01-28,NA LCS 2023 Spring,13.1,Win,Blue,Dignitas,28:55,Sylas,5,1,8
2023-01-27,NA LCS 2023 Spring,13.1,Win,Red,Team Liquid,31:36,Azir,0,4,7
