Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,25:35,Rell,0,4,2
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,Immortals,38:45,Alistar,2,2,12
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,TSM,24:59,Nautilus,1,0,10
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,Team Liquid,30:01,Alistar,0,4,9
2023-07-13,NA LCS 2023 Summer,13.13,Win,Red,Evil Geniuses.NA,24:23,Alistar,2,2,25
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Blue,NRG,27:27,Nautilus,1,5,4
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,Dignitas,31:34,Blitzcrank,2,2,10
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Blue,Golden Guardians,35:20,Milio,1,6,7
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Red,100 Thieves,29:49,Alistar,0,1,5
2023-07-01,NA LCS 2023 Summer,13.12,Win,Red,Immortals,23:32,Alistar,1,1,9
2023-06-29,NA LCS 2023 Summer,13.12,Win,Red,NRG,36:45,Braum,0,1,5
2023-06-28,NA LCS 2023 Summer,13.12,Win,Blue,Team Liquid,44:10,Rakan,0,5,11
2023-06-24,NA LCS 2023 Summer,13.12,Loss,Blue,Dignitas,25:39,Nautilus,1,4,6
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Red,Evil Geniuses.NA,36:30,Alistar,1,3,7
2023-06-21,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,28:24,Thresh,0,5,2
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Golden Guardians,36:54,Rakan,3,3,11
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,TSM,33:43,Milio,0,1,2
2023-06-15,NA LCS 2023 Summer,13.11,Loss,Blue,100 Thieves,30:31,Yuumi,0,3,0
2023-03-31,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,33:26,Lulu,0,1,3
2023-03-31,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,24:16,Nautilus,0,4,1
2023-03-31,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,32:33,Ashe,0,3,4
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,41:32,Thresh,2,5,13
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,34:25,Ashe,1,0,10
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,34:52,Rakan,2,2,18
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Blue,100 Thieves,40:31,Thresh,1,5,10
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Blue,Team Liquid,42:09,Soraka,0,3,16
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Red,100 Thieves,41:30,Lux,3,5,4
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Blue,Immortals,27:51,Nami,1,2,0
2023-03-11,NA LCS 2023 Spring,13.4,Win,Blue,Counter Logic Gaming,38:14,Ashe,0,1,14
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Red,Cloud9,35:07,Thresh,1,3,9
2023-03-03,NA LCS 2023 Spring,13.4,Win,Blue,FlyQuest,39:47,Thresh,0,3,15
2023-03-02,NA LCS 2023 Spring,13.4,Win,Red,TSM,43:23,Thresh,0,3,13
2023-02-25,NA LCS 2023 Spring,13.3,Loss,Red,Golden Guardians,32:43,Nami,0,3,5
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Blue,Dignitas,36:48,Lulu,0,3,5
2023-02-17,NA LCS 2023 Spring,13.3,Win,Red,Immortals,32:56,Lulu,1,0,13
2023-02-16,NA LCS 2023 Spring,13.3,Win,Blue,Team Liquid,44:47,Karma,2,2,16
2023-02-15,NA LCS 2023 Spring,13.3,Win,Blue,100 Thieves,45:07,Lux,1,1,9
2023-02-10,NA LCS 2023 Spring,13.1,Win,Blue,Cloud9,38:50,Nami,0,1,9
2023-02-09,NA LCS 2023 Spring,13.1,Loss,Red,FlyQuest,32:31,Nami,1,3,7
2023-02-03,NA LCS 2023 Spring,13.1,Win,Red,Dignitas,26:54,Rakan,2,0,11
2023-02-03,NA LCS 2023 Spring,13.1,Win,Blue,TSM,27:29,Lulu,2,0,15
2023-01-27,NA LCS 2023 Spring,13.1,Loss,Red,Counter Logic Gaming,44:11,Heimerdinger,0,2,3
2023-01-26,NA LCS 2023 Spring,13.1,Win,Blue,Golden Guardians,43:02,Ashe,1,2,12
