Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,36:45,Kai'Sa,6,1,7
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Golden Guardians,37:41,Ashe,0,4,5
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Red,Golden Guardians,32:27,Kai'Sa,5,5,4
2023-08-13,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,23:33,Kai'Sa,1,0,9
2023-08-13,NA LCS 2023 Championship,13.14,Win,Red,Golden Guardians,30:09,Kai'Sa,3,1,8
2023-08-10,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,24:17,Tristana,4,1,7
2023-08-10,NA LCS 2023 Championship,13.14,Loss,Blue,Evil Geniuses.NA,30:37,Ezreal,1,3,3
2023-08-10,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,21:09,Tristana,3,2,3
2023-08-10,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,27:13,Kai'Sa,5,1,8
2023-08-05,NA LCS 2023 Championship,13.14,Win,Red,100 Thieves,32:05,Xayah,8,0,3
2023-08-04,NA LCS 2023 Championship,13.14,Win,Red,100 Thieves,32:18,Tristana,5,0,1
2023-08-04,NA LCS 2023 Championship,13.14,Loss,Blue,100 Thieves,27:36,Xayah,0,3,7
2023-08-04,NA LCS 2023 Championship,13.14,Win,Blue,100 Thieves,41:44,Ezreal,2,1,2
2023-07-29,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,29:52,Kai'Sa,4,1,2
2023-07-28,NA LCS 2023 Championship,13.14,Win,Blue,NRG,35:32,Kai'Sa,7,2,7
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,37:41,Kai'Sa,2,2,6
2023-07-28,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,45:05,Kai'Sa,1,2,5
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,33:25,Tristana,7,0,6
2023-07-20,NA LCS 2023 Summer,13.13,Loss,Blue,Evil Geniuses.NA,34:32,Ashe,5,4,4
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,28:31,Aphelios,0,1,1
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,FlyQuest,30:01,Kai'Sa,8,2,7
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Blue,TSM,38:27,Aphelios,3,3,0
2023-07-12,NA LCS 2023 Summer,13.13,Win,Red,Cloud9,38:33,Aphelios,1,1,5
2023-07-08,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,27:42,Draven,3,1,8
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,Immortals,24:54,Ashe,2,1,8
2023-07-06,NA LCS 2023 Summer,13.13,Loss,Red,NRG,31:01,Aphelios,6,1,2
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Blue,Golden Guardians,33:06,Varus,2,2,1
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Cloud9,28:18,Aphelios,3,0,9
2023-06-28,NA LCS 2023 Summer,13.12,Loss,Red,FlyQuest,44:10,Ashe,3,2,6
2023-06-23,NA LCS 2023 Summer,13.12,Loss,Blue,Evil Geniuses.NA,38:06,Ashe,0,3,2
2023-06-22,NA LCS 2023 Summer,13.12,Loss,Red,Dignitas,40:28,Xayah,12,3,8
2023-06-21,NA LCS 2023 Summer,13.12,Win,Blue,NRG,31:01,Samira,7,1,6
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,Immortals,21:09,Lucian,7,0,3
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,100 Thieves,32:32,Aphelios,4,2,2
2023-06-14,NA LCS 2023 Summer,13.11,Win,Blue,TSM,29:57,Aphelios,5,2,5
2023-03-17,NA LCS 2023 Spring,13.5,Win,Red,Evil Geniuses.NA,42:09,Jinx,5,4,4
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Red,Counter Logic Gaming,41:09,Zeri,2,2,4
2023-03-16,NA LCS 2023 Spring,13.5,Win,Blue,Dignitas,31:38,Xayah,2,0,2
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Red,Cloud9,29:09,Xayah,0,3,2
2023-03-09,NA LCS 2023 Spring,13.4,Win,Red,FlyQuest,26:31,Aphelios,2,0,13
2023-03-04,NA LCS 2023 Spring,13.4,Loss,Blue,TSM,33:26,Zeri,1,3,1
2023-03-03,NA LCS 2023 Spring,13.4,Win,Red,Golden Guardians,30:38,Varus,6,0,4
2023-02-25,NA LCS 2023 Spring,13.3,Loss,Red,100 Thieves,41:35,Lucian,1,3,3
2023-02-23,NA LCS 2023 Spring,13.3,Win,Blue,Immortals,28:07,Zeri,6,0,6
2023-02-17,NA LCS 2023 Spring,13.3,Loss,Red,Cloud9,41:33,Lucian,2,2,3
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Red,Evil Geniuses.NA,44:47,Caitlyn,5,5,2
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Blue,Counter Logic Gaming,31:54,Ashe,3,3,3
2023-02-11,NA LCS 2023 Spring,13.1,Win,Red,Dignitas,24:11,Ezreal,3,0,5
2023-02-10,NA LCS 2023 Spring,13.1,Loss,Blue,100 Thieves,37:49,Sivir,1,6,7
2023-02-04,NA LCS 2023 Spring,13.1,Win,Blue,Golden Guardians,40:08,Xayah,5,2,9
