Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-12,NA LCS 2023 Championship,13.14,Win,Red,NRG,41:60,Nautilus,1,3,13
2023-08-12,NA LCS 2023 Championship,13.14,Win,Red,NRG,37:33,Rakan,0,2,15
2023-08-12,NA LCS 2023 Championship,13.14,Win,Blue,NRG,33:20,Nautilus,0,3,12
2023-08-05,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,28:01,Rell,0,3,10
2023-08-05,NA LCS 2023 Championship,13.14,Win,Red,Evil Geniuses.NA,30:08,Rell,1,4,17
2023-08-05,NA LCS 2023 Championship,13.14,Win,Blue,Evil Geniuses.NA,40:05,Braum,0,3,13
2023-07-22,NA LCS 2023 Summer,13.13,Win,Red,Golden Guardians,25:34,Milio,0,0,14
2023-07-22,NA LCS 2023 Summer,13.13,Win,Blue,FlyQuest,25:35,Rakan,2,0,8
2023-07-20,NA LCS 2023 Summer,13.13,Win,Blue,TSM,20:42,Rell,1,2,8
2023-07-19,NA LCS 2023 Summer,13.13,Loss,Red,NRG,38:19,Rell,0,4,12
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,Evil Geniuses.NA,25:46,Braum,1,0,7
2023-07-14,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,27:08,Nautilus,0,5,15
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Blue,Team Liquid,38:33,Milio,1,1,12
2023-07-07,NA LCS 2023 Summer,13.13,Win,Red,Immortals,28:16,Braum,1,3,9
2023-07-06,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,30:02,Heimerdinger,1,3,10
2023-07-05,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,27:56,Soraka,0,3,5
2023-06-30,NA LCS 2023 Summer,13.12,Win,Blue,Evil Geniuses.NA,22:11,Milio,0,1,22
2023-06-29,NA LCS 2023 Summer,13.12,Loss,Red,Team Liquid,28:18,Rakan,0,7,3
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Immortals,26:11,Rell,0,3,15
2023-06-24,NA LCS 2023 Summer,13.12,Loss,Blue,NRG,29:59,Yuumi,0,3,5
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,100 Thieves,26:46,Yuumi,2,0,9
2023-06-21,NA LCS 2023 Summer,13.12,Win,Blue,FlyQuest,28:24,Nautilus,2,1,13
2023-06-17,NA LCS 2023 Summer,13.11,Win,Blue,TSM,29:25,Milio,0,1,10
2023-06-15,NA LCS 2023 Summer,13.11,Win,Red,Dignitas,27:24,Lulu,3,1,14
2023-06-14,NA LCS 2023 Summer,13.11,Win,Blue,Golden Guardians,26:37,Milio,0,1,7
2023-05-17,INT MSI 2023,13.8,Loss,Blue,Gen.G,26:31,Nami,0,5,4
2023-05-17,INT MSI 2023,13.8,Loss,Blue,Gen.G,25:55,Nami,0,3,2
2023-05-17,INT MSI 2023,13.8,Loss,Red,Gen.G,27:07,Lulu,0,3,3
2023-05-14,INT MSI 2023,13.8,Win,Blue,Golden Guardians,35:02,Heimerdinger,1,1,13
2023-05-14,INT MSI 2023,13.8,Loss,Blue,Golden Guardians,35:05,Tahm Kench,0,5,6
2023-05-14,INT MSI 2023,13.8,Win,Blue,Golden Guardians,30:39,Rakan,0,1,10
2023-05-14,INT MSI 2023,13.8,Win,Red,Golden Guardians,22:59,Lulu,0,0,9
2023-05-11,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,34:38,Thresh,0,5,10
2023-05-11,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,31:06,Rakan,2,3,6
2023-05-11,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,34:55,Rakan,0,6,12
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Golden Guardians,29:06,Rakan,1,1,10
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,26:22,Nami,0,0,9
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,28:26,Lulu,0,1,5
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Golden Guardians,37:58,Thresh,0,4,15
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Win,Red,FlyQuest,36:55,Braum,1,4,16
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Win,Red,FlyQuest,34:51,Soraka,0,2,16
2023-03-30,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,FlyQuest,32:16,Heimerdinger,3,1,16
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,34:29,Renata Glasc,3,0,15
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Counter Logic Gaming,28:28,Soraka,1,1,8
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Counter Logic Gaming,34:39,Nami,2,2,2
2023-03-24,NA LCS 2023 Spring Playoffs,13.5,Win,Blue,Counter Logic Gaming,38:23,Heimerdinger,1,4,6
2023-03-18,NA LCS 2023 Spring,13.5,Win,Red,FlyQuest,29:25,Renata Glasc,0,2,14
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Red,Counter Logic Gaming,37:51,Ashe,0,4,6
2023-03-17,NA LCS 2023 Spring,13.5,Win,Blue,Immortals,27:11,Braum,3,3,9
2023-03-15,NA LCS 2023 Spring,13.5,Win,Blue,FlyQuest,26:36,Annie,0,1,8
