Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,36:45,Braum,1,4,8
2023-08-13,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,37:41,Rakan,1,3,11
2023-08-13,NA LCS 2023 Championship,13.14,Win,Blue,Team Liquid,32:27,Rakan,0,2,21
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,23:33,Rakan,1,2,4
2023-08-13,NA LCS 2023 Championship,13.14,Loss,Blue,Team Liquid,30:09,Leona,0,4,6
2023-08-11,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,25:52,Nautilus,0,4,9
2023-08-11,NA LCS 2023 Championship,13.14,Win,Red,Dignitas,23:19,Leona,2,2,19
2023-08-11,NA LCS 2023 Championship,13.14,Win,Blue,Dignitas,31:50,Rell,0,3,7
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,29:07,Amumu,1,4,10
2023-08-06,NA LCS 2023 Championship,13.14,Win,Blue,NRG,32:41,Rakan,0,6,18
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Red,NRG,37:35,Maokai,0,4,4
2023-08-06,NA LCS 2023 Championship,13.14,Loss,Blue,NRG,32:60,Nautilus,0,3,7
2023-07-22,NA LCS 2023 Summer,13.13,Loss,Blue,Cloud9,25:34,Nautilus,0,5,0
2023-07-21,NA LCS 2023 Summer,13.13,Win,Red,100 Thieves,36:36,Leona,1,1,12
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,Dignitas,33:35,Rakan,3,2,12
2023-07-19,NA LCS 2023 Summer,13.13,Win,Blue,Team Liquid,28:31,Rell,0,2,11
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Blue,NRG,35:55,Leona,0,6,8
2023-07-14,NA LCS 2023 Summer,13.13,Win,Red,Immortals,34:56,Renata Glasc,1,3,8
2023-07-12,NA LCS 2023 Summer,13.13,Win,Blue,Evil Geniuses.NA,19:12,Rakan,3,0,8
2023-07-08,NA LCS 2023 Summer,13.13,Loss,Red,TSM,27:01,Zac,2,3,2
2023-07-06,NA LCS 2023 Summer,13.13,Win,Red,FlyQuest,35:20,Nautilus,1,4,12
2023-07-05,NA LCS 2023 Summer,13.13,Win,Blue,Cloud9,27:56,Braum,0,3,12
2023-06-30,NA LCS 2023 Summer,13.12,Win,Red,Team Liquid,33:06,Rell,1,5,10
2023-06-30,NA LCS 2023 Summer,13.12,Win,Red,100 Thieves,39:48,Rakan,0,3,13
2023-06-28,NA LCS 2023 Summer,13.12,Loss,Red,NRG,50:17,Nautilus,0,5,8
2023-06-23,NA LCS 2023 Summer,13.12,Win,Blue,TSM,32:28,Leona,0,3,7
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,Immortals,26:13,Rell,2,0,17
2023-06-21,NA LCS 2023 Summer,13.12,Win,Red,Dignitas,33:09,Rell,0,3,15
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,FlyQuest,36:54,Lulu,1,5,11
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Evil Geniuses.NA,31:23,Nami,1,2,4
2023-06-14,NA LCS 2023 Summer,13.11,Loss,Red,Cloud9,26:37,Nami,1,2,4
2023-05-14,INT MSI 2023,13.8,Loss,Red,Cloud9,35:02,Rakan,0,5,8
2023-05-14,INT MSI 2023,13.8,Win,Red,Cloud9,35:05,Annie,1,3,17
2023-05-14,INT MSI 2023,13.8,Loss,Red,Cloud9,30:39,Lulu,0,2,4
2023-05-14,INT MSI 2023,13.8,Loss,Blue,Cloud9,22:59,Nautilus,0,3,1
2023-05-12,INT MSI 2023,13.8,Loss,Blue,JD Gaming,27:02,Thresh,0,3,6
2023-05-12,INT MSI 2023,13.8,Loss,Blue,JD Gaming,31:33,Rell,0,4,9
2023-05-12,INT MSI 2023,13.8,Loss,Red,JD Gaming,24:40,Nautilus,0,4,6
2023-05-07,INT MSI 2023,13.8,Win,Red,PSG Talon,34:00,Annie,0,2,9
2023-05-07,INT MSI 2023,13.8,Win,Red,PSG Talon,32:26,Annie,1,3,18
2023-05-07,INT MSI 2023,13.8,Win,Blue,PSG Talon,33:57,Sett,0,1,8
2023-05-06,INT MSI 2023,13.8,Win,Blue,Movistar R7,23:19,Nami,2,0,17
2023-05-06,INT MSI 2023,13.8,Win,Blue,Movistar R7,25:12,Annie,1,0,12
2023-05-04,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,30:07,Morgana,1,4,10
2023-05-04,INT MSI 2023,13.8,Win,Red,Bilibili Gaming,39:49,Rakan,1,6,17
2023-05-04,INT MSI 2023,13.8,Loss,Red,Bilibili Gaming,28:49,Renata Glasc,1,2,5
2023-05-03,INT MSI 2023,13.8,Win,Red,GAM Esports,26:56,Amumu,0,2,13
2023-05-03,INT MSI 2023,13.8,Win,Blue,GAM Esports,28:26,Sett,1,4,17
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Cloud9,29:06,Nami,1,1,4
2023-04-09,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Cloud9,26:22,Lulu,0,1,1
