Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-10,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,24:17,Azir,2,2,3
2023-08-10,NA LCS 2023 Championship,13.14,Win,Red,Team Liquid,30:37,Tristana,6,3,5
2023-08-10,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,21:09,Ahri,1,4,1
2023-08-10,NA LCS 2023 Championship,13.14,Loss,Red,Team Liquid,27:13,Ahri,1,4,2
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Red,Cloud9,28:01,Azir,4,3,6
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Blue,Cloud9,30:08,Jayce,4,8,5
2023-08-05,NA LCS 2023 Championship,13.14,Loss,Red,Cloud9,40:05,Jayce,0,4,8
2023-07-28,NA LCS 2023 Championship,13.14,Win,Red,TSM,21:23,Sylas,3,1,8
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Red,TSM,27:11,Yone,1,5,3
2023-07-27,NA LCS 2023 Championship,13.14,Win,Red,TSM,29:53,Ahri,12,1,7
2023-07-27,NA LCS 2023 Championship,13.14,Win,Red,TSM,29:44,Ahri,6,2,16
2023-07-27,NA LCS 2023 Championship,13.14,Loss,Blue,TSM,25:17,Ahri,1,6,3
2023-07-21,NA LCS 2023 Summer,13.13,Win,Blue,TSM,28:29,Tristana,6,1,5
2023-07-20,NA LCS 2023 Summer,13.13,Win,Red,Team Liquid,34:32,Sylas,9,4,13
2023-07-19,NA LCS 2023 Summer,13.13,Win,Red,Immortals,30:59,Ahri,7,3,7
2023-07-14,NA LCS 2023 Summer,13.13,Loss,Red,Cloud9,25:46,Jayce,4,2,1
2023-07-13,NA LCS 2023 Summer,13.13,Loss,Blue,FlyQuest,24:23,Tristana,3,7,2
2023-07-12,NA LCS 2023 Summer,13.13,Loss,Red,Golden Guardians,19:12,Kai'Sa,1,5,0
2023-07-07,NA LCS 2023 Summer,13.13,Loss,Red,NRG,28:01,Azir,3,4,1
2023-07-07,NA LCS 2023 Summer,13.13,Win,Blue,100 Thieves,23:52,Tristana,4,1,8
2023-07-05,NA LCS 2023 Summer,13.13,Win,Red,Dignitas,33:04,Jayce,5,2,8
2023-06-30,NA LCS 2023 Summer,13.12,Loss,Red,Cloud9,22:11,Jayce,0,4,1
2023-06-29,NA LCS 2023 Summer,13.12,Win,Blue,Immortals,26:51,Sylas,8,1,5
2023-06-28,NA LCS 2023 Summer,13.12,Win,Blue,TSM,29:34,Yone,2,2,6
2023-06-23,NA LCS 2023 Summer,13.12,Win,Red,Team Liquid,38:06,Ahri,3,0,15
2023-06-23,NA LCS 2023 Summer,13.12,Win,Blue,FlyQuest,36:30,Neeko,1,3,10
2023-06-22,NA LCS 2023 Summer,13.12,Win,Red,100 Thieves,27:44,Ahri,4,0,14
2023-06-16,NA LCS 2023 Summer,13.11,Loss,Blue,Dignitas,35:42,Ahri,4,3,6
2023-06-16,NA LCS 2023 Summer,13.11,Win,Red,Golden Guardians,31:23,Jayce,8,4,4
2023-06-15,NA LCS 2023 Summer,13.11,Win,Blue,NRG,24:45,Gragas,5,0,9
2023-03-31,NA LCS 2023 Spring Playoffs,13.5,Loss,Red,Golden Guardians,33:26,Lissandra,0,3,1
2023-03-31,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,24:16,Ahri,0,4,1
2023-03-31,NA LCS 2023 Spring Playoffs,13.5,Loss,Blue,Golden Guardians,32:33,Tristana,3,3,1
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,41:32,Veigar,5,2,7
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,34:25,Ahri,2,1,6
2023-03-26,NA LCS 2023 Spring Playoffs,13.5,Win,Red,Counter Logic Gaming,34:52,Ahri,4,1,13
2023-03-18,NA LCS 2023 Spring,13.5,Loss,Blue,100 Thieves,40:31,Taliyah,2,7,7
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Blue,Team Liquid,42:09,Jayce,5,5,8
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Red,100 Thieves,41:30,Veigar,2,6,4
2023-03-16,NA LCS 2023 Spring,13.5,Loss,Blue,Immortals,27:51,Annie,1,2,1
2023-03-10,NA LCS 2023 Spring,13.4,Loss,Red,Cloud9,35:07,Yone,2,6,6
2023-03-03,NA LCS 2023 Spring,13.4,Win,Blue,FlyQuest,39:47,Azir,5,3,9
2023-03-02,NA LCS 2023 Spring,13.4,Win,Red,TSM,43:23,Akali,9,0,2
2023-02-25,NA LCS 2023 Spring,13.3,Loss,Red,Golden Guardians,32:43,LeBlanc,1,6,4
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Blue,Dignitas,36:48,Jayce,2,4,1
2023-02-17,NA LCS 2023 Spring,13.3,Win,Red,Immortals,32:56,Sylas,6,0,6
2023-02-16,NA LCS 2023 Spring,13.3,Win,Blue,Team Liquid,44:47,Jayce,3,3,14
2023-02-15,NA LCS 2023 Spring,13.3,Win,Blue,100 Thieves,45:07,Sylas,6,4,4
2023-02-10,NA LCS 2023 Spring,13.1,Win,Blue,Cloud9,38:50,Tristana,6,1,3
2023-02-09,NA LCS 2023 Spring,13.1,Loss,Red,FlyQuest,32:31,Viktor,6,5,3
