Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Red,KOI (Spanish Team),28:35,Viego,2,4,2
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Excel Esports,30:04,Maokai,1,3,1
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,34:20,Vi,3,0,10
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,27:43,Viego,1,1,1
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,34:30,Viego,4,0,8
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,MAD Lions,26:51,Vi,4,4,2
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team BDS,25:38,Sejuani,4,0,7
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,29:44,Jarvan IV,3,5,5
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,25:54,Wukong,1,7,5
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,MAD Lions,32:09,Maokai,0,7,10
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,MAD Lions,37:58,Maokai,0,8,8
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team Vitality,23:11,Xin Zhao,0,8,3
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team Vitality,30:25,Maokai,2,7,11
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,Fnatic,33:19,Sejuani,2,4,13
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Fnatic,30:02,Maokai,1,5,6
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,Fnatic,33:48,Sejuani,2,2,9
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Fnatic,37:03,Maokai,2,6,20
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,21:51,Viego,6,1,6
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team Heretics,28:32,Maokai,3,1,9
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Team Vitality,30:17,Viego,2,2,12
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team BDS,34:27,Lee Sin,2,2,7
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,MAD Lions,28:23,Lee Sin,2,5,2
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Red,SK Gaming,24:14,Vi,2,4,4
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Blue,G2 Esports,33:08,Sejuani,3,4,13
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,KOI (Spanish Team),28:23,Elise,2,0,2
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,MAD Lions,25:11,Trundle,0,5,3
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,MAD Lions,31:32,Vi,2,5,6
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team BDS,28:45,Sejuani,2,1,11
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team BDS,39:02,Maokai,1,2,11
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,Team BDS,36:11,Sejuani,2,4,3
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,MAD Lions,29:13,Vi,2,5,3
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,MAD Lions,27:12,Jarvan IV,4,3,18
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,MAD Lions,27:32,Vi,0,4,5
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Loss,Red,KOI (Spanish Team),30:47,Sejuani,1,3,1
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Fnatic,26:58,Trundle,2,0,13
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Win,Blue,SK Gaming,38:42,Sejuani,1,3,6
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Win,Red,Excel Esports,31:24,Trundle,3,3,13
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team BDS,31:51,Jarvan IV,0,4,4
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Loss,Red,Team Vitality,31:32,Viego,2,2,6
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Loss,Red,G2 Esports,24:54,Sejuani,1,6,3
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,MAD Lions,29:21,Viego,1,3,1
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team Heretics,35:55,Viego,4,4,8
