Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,G2 Esports,23:55,Azir,1,6,1
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,37:05,LeBlanc,3,4,4
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,25:05,Jayce,2,6,0
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Fnatic,28:15,Azir,3,4,17
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Fnatic,35:40,LeBlanc,1,2,2
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Fnatic,30:15,Tristana,7,0,9
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Fnatic,28:42,LeBlanc,13,0,6
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,38:31,Azir,3,3,3
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,G2 Esports,32:37,Tristana,4,1,9
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,35:20,Jayce,5,4,5
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,G2 Esports,28:55,Jayce,13,3,14
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,31:11,Azir,4,6,5
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,32:08,LeBlanc,8,1,7
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,SK Gaming,28:13,Azir,1,3,1
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,34:36,Jayce,4,2,11
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Red,MAD Lions,39:14,Twisted Fate,3,1,10
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,MAD Lions,29:03,Ahri,2,1,7
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,28:26,K'Sante,1,2,6
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,30:04,Tristana,6,3,5
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,G2 Esports,28:25,Neeko,0,3,4
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Red,MAD Lions,38:30,Azir,5,2,9
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team BDS,38:10,Azir,2,1,8
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Heretics,30:07,Azir,7,3,6
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,SK Gaming,37:21,Annie,3,2,6
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,32:57,Ahri,1,4,2
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Red,KOI (Spanish Team),35:18,Annie,1,5,9
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team BDS,39:11,Gragas,0,5,4
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Astralis,21:51,Jayce,4,6,0
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Red,KOI (Spanish Team),41:28,Gragas,4,1,6
