Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,Team Heretics,29:10,Olaf,1,3,1
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,38:39,Renekton,2,3,4
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,G2 Esports,32:09,Olaf,5,7,2
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,G2 Esports,28:27,Garen,3,4,4
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Team Heretics,26:36,Renekton,2,2,7
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team Heretics,26:18,Renekton,4,3,4
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,29:33,Darius,0,5,2
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Blue,MAD Lions,29:22,Renekton,4,1,7
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,33:57,Sett,5,6,11
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,42:57,Olaf,4,5,1
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Excel Esports,38:10,K'Sante,2,4,6
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,SK Gaming,26:26,K'Sante,4,2,8
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Astralis,25:38,Renekton,0,3,0
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,KOI (Spanish Team),29:37,Olaf,4,2,1
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,31:47,Malphite,1,4,2
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,28:03,K'Sante,0,4,0
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,23:52,K'Sante,0,4,1
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,29:22,Malphite,2,5,1
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,MAD Lions,30:59,Malphite,3,6,11
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,33:31,Sion,0,4,10
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,Team Vitality,35:14,Darius,4,1,6
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team Vitality,33:14,Sion,2,0,8
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,Team Vitality,36:33,Darius,3,0,2
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Red,KOI (Spanish Team),28:11,Sion,1,4,11
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,KOI (Spanish Team),29:07,Jarvan IV,1,3,18
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Win,Red,SK Gaming,28:54,Darius,1,3,4
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,SK Gaming,30:30,Olaf,4,3,4
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Excel Esports,39:11,Sett,6,1,7
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Red,KOI (Spanish Team),39:35,Malphite,5,2,8
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team Vitality,41:31,Malphite,1,2,7
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,G2 Esports,34:29,Renekton,3,6,4
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Astralis,34:27,Aatrox,4,3,4
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Win,Red,Fnatic,34:02,Wukong,2,2,6
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team Heretics,31:30,Sion,1,7,5
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Blue,MAD Lions,32:07,Darius,4,4,6
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,SK Gaming,36:05,Yasuo,2,2,1
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,Astralis,28:45,Olaf,0,4,2
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,Astralis,39:02,Renekton,2,1,2
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Astralis,36:11,Olaf,4,1,5
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,G2 Esports,22:55,Renekton,1,7,1
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,G2 Esports,36:26,Olaf,5,0,11
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,G2 Esports,31:05,Garen,4,3,3
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Team Heretics,37:53,Sett,5,6,7
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team Vitality,44:34,K'Sante,3,6,12
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Loss,Red,G2 Esports,31:26,Jax,1,2,3
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Win,Blue,MAD Lions,39:53,Darius,8,1,2
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Win,Red,Astralis,31:51,Jax,4,3,4
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Win,Red,Fnatic,38:08,Olaf,7,0,2
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Excel Esports,46:14,Darius,3,4,3
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Win,Red,SK Gaming,40:12,Aatrox,2,1,7
