Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,28:36,Rakan,0,3,4
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,41:35,Rakan,0,6,7
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,G2 Esports,28:25,Nautilus,0,4,0
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,G2 Esports,32:05,Alistar,2,4,5
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,28:35,Lulu,0,1,18
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,28:25,Janna,0,1,2
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,32:42,Lulu,0,0,4
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,SK Gaming,35:15,Yuumi,0,0,6
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Heretics,37:50,Lulu,0,1,12
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Fnatic,29:29,Lulu,1,3,2
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Red,MAD Lions,40:19,Leona,2,5,5
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,29:37,Milio,0,3,2
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Excel Esports,35:18,Yuumi,1,2,10
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,MAD Lions,36:08,Thresh,2,6,16
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,MAD Lions,29:02,Blitzcrank,2,1,10
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,MAD Lions,30:00,Renata Glasc,1,2,5
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Astralis,33:19,Nautilus,0,3,11
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,30:02,Nautilus,1,2,13
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Astralis,33:48,Tahm Kench,2,2,7
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Astralis,37:03,Thresh,2,6,9
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Red,G2 Esports,32:44,Rakan,1,2,14
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Win,Blue,MAD Lions,31:40,Braum,3,0,13
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Win,Blue,KOI (Spanish Team),31:50,Nautilus,2,1,12
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team Heretics,40:39,Nautilus,2,4,17
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team BDS,34:02,Lux,0,3,5
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team Vitality,23:29,Ashe,0,4,3
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Loss,Red,SK Gaming,31:49,Heimerdinger,1,3,5
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Excel Esports,30:11,Heimerdinger,0,0,1
2023-03-02,EMEA LVP SL 2023 Spring,13.3,Win,Blue,Guasones,32:27,Karma,2,1,9
2023-02-28,EMEA LVP SL 2023 Spring,13.3,Win,Blue,KOI Academy,34:11,Nautilus,3,3,17
2023-02-27,EMEA LVP SL 2023 Spring,13.3,Win,Blue,Barça eSports,28:55,Braum,0,2,23
2023-02-23,EMEA LVP SL 2023 Spring,13.3,Win,Red,UCAM Tokiers,50:02,Nautilus,2,9,15
2023-02-21,EMEA LVP SL 2023 Spring,13.3,Loss,Red,Rebels Gaming,38:50,Nautilus,1,7,7
2023-02-16,EMEA LVP SL 2023 Spring,13.1,Win,Blue,Giants (Spanish Team),33:38,Nautilus,1,2,7
2023-02-14,EMEA LVP SL 2023 Spring,13.1,Win,Red,Movistar Riders,31:32,Nautilus,0,2,8
2023-02-09,EMEA LVP SL 2023 Spring,13.1,Loss,Red,BISONS ECLUB,30:08,Ashe,1,4,2
2023-02-07,EMEA LVP SL 2023 Spring,13.1,Loss,Red,Team Heretics Academy,33:16,Nami,0,1,3
2023-02-02,EMEA LVP SL 2023 Spring,13.1,Win,Blue,Guasones,33:40,Caitlyn,2,2,7
2023-01-31,EMEA LVP SL 2023 Spring,13.1,Loss,Blue,KOI Academy,33:23,Yuumi,1,1,6
2023-01-26,EMEA LVP SL 2023 Spring,13.1,Win,Red,Barça eSports,39:27,Lux,1,2,6
2023-01-24,EMEA LVP SL 2023 Spring,13.1,Win,Red,UCAM Tokiers,32:08,Braum,0,2,18
2023-01-19,EMEA LVP SL 2023 Spring,13.1,Loss,Red,Rebels Gaming,34:19,Nami,0,2,0
2023-01-17,EMEA LVP SL 2023 Spring,13.1,Win,Red,Giants (Spanish Team),27:22,Lulu,0,1,7
2023-01-16,EMEA LVP SL 2023 Spring,13.1,Loss,Red,Movistar Riders,35:08,Karma,1,2,8
