Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-27,EMEA LFL 2023 Summer,13.14,Win,Blue,Aegis (French Team),47:05,Rumble,5,2,10
2023-07-26,EMEA LFL 2023 Summer,13.14,Win,Blue,GameWard,26:37,Kennen,9,2,5
2023-07-20,EMEA LFL 2023 Summer,13.13,Loss,Red,Izi Dream,41:35,Renekton,6,5,4
2023-07-19,EMEA LFL 2023 Summer,13.13,Loss,Blue,BK ROG Esports,28:56,K'Sante,0,3,2
2023-07-13,EMEA LFL 2023 Summer,13.13,Win,Blue,LDLC OL,24:19,Renekton,4,1,4
2023-07-12,EMEA LFL 2023 Summer,13.13,Loss,Red,Solary,39:42,K'Sante,1,2,1
2023-07-06,EMEA LFL 2023 Summer,13.13,Loss,Blue,Vitality.Bee,27:35,Jax,1,3,0
2023-07-05,EMEA LFL 2023 Summer,13.13,Loss,Red,Team GO,32:13,Jax,2,5,2
2023-06-29,EMEA LFL 2023 Summer,13.11,Loss,Blue,Karmine Corp,35:19,Poppy,0,7,7
2023-06-28,EMEA LFL 2023 Summer,13.11,Loss,Blue,Aegis (French Team),29:41,Ornn,2,4,2
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,32:41,Renekton,4,4,1
2023-06-22,EMEA LFL 2023 Summer,13.11,Loss,Red,LDLC OL,31:54,Kennen,2,4,2
2023-06-21,EMEA LFL 2023 Summer,13.11,Loss,Red,Solary,33:24,Rumble,9,5,4
2023-06-15,EMEA LFL 2023 Summer,13.11,Loss,Red,BK ROG Esports,37:28,Rumble,2,3,5
2023-06-14,EMEA LFL 2023 Summer,13.11,Win,Red,Izi Dream,29:39,Rumble,3,2,6
2023-06-08,EMEA LFL 2023 Summer,13.10,Loss,Blue,Team GO,29:10,Sion,2,4,0
2023-06-07,EMEA LFL 2023 Summer,13.10,Win,Blue,GameWard,29:43,K'Sante,1,0,4
2023-06-01,EMEA LFL 2023 Summer,13.10,Win,Blue,Vitality.Bee,31:19,K'Sante,2,3,8
2023-05-31,EMEA LFL 2023 Summer,13.10,Loss,Blue,Karmine Corp,25:22,Sion,0,3,0
2023-03-29,EMEA LFL 2023 Spring Playoffs,13.5,Loss,Red,Team GO,32:52,Gnar,1,3,1
2023-03-29,EMEA LFL 2023 Spring Playoffs,13.5,Loss,Blue,Team GO,29:55,K'Sante,0,5,5
2023-03-29,EMEA LFL 2023 Spring Playoffs,13.5,Win,Red,Team GO,26:40,Sion,3,1,3
2023-03-29,EMEA LFL 2023 Spring Playoffs,13.5,Loss,Red,Team GO,28:51,Sion,0,2,2
2023-03-23,EMEA LFL 2023 Spring Playoffs,13.5,Win,Red,Solary,30:24,Renekton,4,1,3
2023-03-23,EMEA LFL 2023 Spring Playoffs,13.5,Win,Blue,Solary,30:27,Gnar,5,1,7
2023-03-23,EMEA LFL 2023 Spring Playoffs,13.5,Win,Red,Solary,26:57,Gnar,2,0,6
2023-03-16,EMEA LFL 2023 Spring,13.4,Loss,Red,LDLC OL,26:19,Sejuani,0,2,1
2023-03-15,EMEA LFL 2023 Spring,13.4,Loss,Red,GameWard,31:50,Jax,4,3,1
2023-03-09,EMEA LFL 2023 Spring,13.4,Loss,Blue,BK ROG Esports,33:20,Sion,0,6,6
2023-03-08,EMEA LFL 2023 Spring,13.4,Win,Red,Team GO,31:48,Sejuani,1,1,14
2023-03-03,EMEA LFL 2023 Spring,13.3,Loss,Red,Aegis (French Team),36:17,Yone,1,6,3
2023-03-02,EMEA LFL 2023 Spring,13.3,Win,Blue,Vitality.Bee,38:10,Yone,2,3,5
2023-03-01,EMEA LFL 2023 Spring,13.3,Win,Red,Karmine Corp,27:13,Jayce,3,4,4
2023-02-23,EMEA LFL 2023 Spring,13.3,Loss,Red,Solary,27:23,Irelia,3,5,0
2023-02-22,EMEA LFL 2023 Spring,13.3,Win,Blue,Izi Dream,30:48,Sion,1,3,5
2023-02-16,EMEA LFL 2023 Spring,13.1,Win,Red,BK ROG Esports,33:35,Gnar,5,2,4
2023-02-09,EMEA LFL 2023 Spring,13.1,Loss,Blue,GameWard,37:39,Jax,1,4,4
2023-02-08,EMEA LFL 2023 Spring,13.1,Win,Red,Team GO,42:13,K'Sante,3,2,5
2023-02-02,EMEA LFL 2023 Spring,13.1,Loss,Red,Vitality.Bee,23:34,Renekton,3,3,2
2023-02-01,EMEA LFL 2023 Spring,13.1,Win,Red,Karmine Corp,28:10,Renekton,3,1,0
2023-01-26,EMEA LFL 2023 Spring,13.1,Win,Red,Aegis (French Team),30:25,Jayce,3,2,9
2023-01-25,EMEA LFL 2023 Spring,13.1,Win,Red,Izi Dream,29:45,Renekton,3,0,2
2023-01-19,EMEA LFL 2023 Spring,13.1,Loss,Blue,Solary,25:44,Ornn,1,3,8
2023-01-18,EMEA LFL 2023 Spring,13.1,Loss,Blue,LDLC OL,38:39,Kennen,1,2,5
