Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,32:10,Maokai,1,8,3
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Astralis,34:30,Nocturne,5,4,1
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,G2 Esports,26:08,Poppy,1,4,2
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team Heretics,33:03,Wukong,0,3,6
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,30:55,Sejuani,1,4,10
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,MAD Lions,29:56,Kindred,1,6,2
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,29:05,Maokai,0,6,5
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,37:14,Vi,2,5,3
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,26:50,Maokai,2,3,13
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,27:47,Maokai,2,5,1
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team BDS,35:14,Sejuani,1,9,5
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,Team BDS,33:14,Lee Sin,3,7,3
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team BDS,36:33,Wukong,0,3,0
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,23:11,Lee Sin,12,2,12
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,30:25,Wukong,11,3,14
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Red,MAD Lions,29:13,Wukong,5,4,9
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,MAD Lions,33:03,Maokai,0,6,12
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Red,KOI (Spanish Team),26:38,Sejuani,5,0,7
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Team Heretics,37:56,Wukong,4,3,7
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team BDS,41:31,Lee Sin,5,3,7
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Astralis,30:17,Vi,1,5,5
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Red,G2 Esports,30:59,Gragas,0,6,3
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Win,Blue,SK Gaming,30:58,Vi,4,2,3
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Win,Red,Fnatic,23:29,Gragas,11,0,5
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,30:53,Sejuani,2,0,13
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,MAD Lions,28:05,Gragas,4,0,9
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,SK Gaming,24:02,Karthus,0,5,2
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,SK Gaming,39:46,Elise,4,4,3
2023-02-13,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,KOI (Spanish Team),26:34,Nidalee,2,7,4
2023-02-13,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,KOI (Spanish Team),33:19,Sejuani,1,3,3
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team Heretics,39:41,Kindred,5,5,10
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,Team Heretics,26:30,Wukong,2,5,0
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team Heretics,26:56,Kindred,5,1,4
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Excel Esports,54:07,Vi,2,8,11
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Win,Red,Team BDS,44:34,Vi,4,11,7
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Loss,Red,KOI (Spanish Team),33:53,Sejuani,1,2,2
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Win,Red,G2 Esports,36:51,Vi,5,2,10
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,SK Gaming,31:08,Maokai,3,6,3
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Astralis,31:32,Maokai,2,0,5
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Win,Red,MAD Lions,29:23,Vi,6,2,7
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Team Heretics,28:22,Sejuani,2,2,18
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Fnatic,33:03,Graves,5,4,8
