Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Excel Esports,23:55,Ornn,3,0,12
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,37:05,Jax,9,2,5
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,25:05,Renekton,3,3,7
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,38:31,Jax,1,3,6
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Excel Esports,32:37,Renekton,2,4,3
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,35:20,Renekton,7,3,9
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,Excel Esports,28:55,Renekton,5,4,4
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,31:11,Renekton,6,1,6
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Team BDS,32:09,Sett,4,5,5
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team BDS,28:27,Jax,7,2,6
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Red,KOI (Spanish Team),28:25,Jax,2,2,7
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,KOI (Spanish Team),32:05,Jax,4,1,8
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Heretics,34:58,K'Sante,5,2,5
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,KOI (Spanish Team),28:25,K'Sante,1,1,1
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Red,Excel Esports,28:25,Olaf,5,0,3
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,27:43,Gnar,2,1,3
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,33:36,K'Sante,1,2,4
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,26:08,Sion,1,0,8
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Fnatic,31:26,K'Sante,6,2,10
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,MAD Lions,40:10,Poppy,3,5,6
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team BDS,31:47,Renekton,7,0,6
2023-05-16,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,29:50,Jayce,1,3,2
2023-05-16,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,36:39,Darius,3,4,7
2023-05-16,INT MSI 2023,13.8,Win,Blue,Bilibili Gaming,36:58,K'Sante,3,1,6
2023-05-16,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,29:49,Gragas,0,4,6
2023-05-13,INT MSI 2023,13.8,Win,Blue,MAD Lions,25:54,Cassiopeia,7,3,1
2023-05-13,INT MSI 2023,13.8,Win,Blue,MAD Lions,28:33,Cassiopeia,8,1,9
2023-05-13,INT MSI 2023,13.8,Win,Red,MAD Lions,22:56,Yasuo,2,3,7
2023-05-09,INT MSI 2023,13.8,Loss,Red,Gen.G,29:29,Kennen,2,3,3
2023-05-09,INT MSI 2023,13.8,Win,Blue,Gen.G,32:27,Kennen,6,5,5
2023-05-09,INT MSI 2023,13.8,Loss,Blue,Gen.G,19:47,Kennen,0,1,2
2023-05-09,INT MSI 2023,13.8,Loss,Red,Gen.G,27:27,Darius,2,3,3
2023-05-04,INT MSI 2023,13.8,Win,Red,PSG Talon,26:55,Olaf,10,1,9
2023-05-04,INT MSI 2023,13.8,Win,Blue,PSG Talon,40:26,Kennen,3,4,9
2023-05-02,INT MSI 2023,13.8,Win,Blue,LOUD,20:13,Poppy,3,0,5
2023-05-02,INT MSI 2023,13.8,Win,Blue,LOUD,32:47,Darius,12,3,9
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,27:15,Jayce,0,4,3
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,30:42,Kennen,6,1,4
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,25:34,Darius,5,3,1
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,32:41,Akshan,2,4,2
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,27:42,Kennen,2,1,12
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Win,Red,KOI (Spanish Team),35:25,Gragas,2,4,7
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,KOI (Spanish Team),21:22,Kennen,4,0,10
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,KOI (Spanish Team),27:53,Cho'Gath,2,2,1
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Win,Red,SK Gaming,23:46,Gragas,1,3,10
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,SK Gaming,29:53,Kennen,7,2,9
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,KOI (Spanish Team),28:02,Gragas,4,3,3
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,KOI (Spanish Team),31:33,Pantheon,0,4,1
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,KOI (Spanish Team),30:36,Pantheon,7,2,6
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Red,MAD Lions,28:07,Olaf,11,2,4
