Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Excel Esports,23:55,LeBlanc,6,1,16
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,37:05,Kai'Sa,6,5,10
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,25:05,Ahri,6,0,14
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,38:31,Jayce,2,3,15
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Excel Esports,32:37,Ahri,7,3,6
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,35:20,Syndra,2,3,12
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,Excel Esports,28:55,Lucian,2,9,6
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,31:11,Neeko,7,2,16
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Team BDS,32:09,Tristana,12,3,2
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team BDS,28:27,Lucian,6,5,14
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Red,KOI (Spanish Team),28:25,Tristana,7,1,6
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,KOI (Spanish Team),32:05,Neeko,5,3,3
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Heretics,34:58,Cassiopeia,2,2,1
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,KOI (Spanish Team),28:25,Neeko,0,1,4
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Red,Excel Esports,28:25,LeBlanc,2,1,7
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,27:43,Azir,1,0,4
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,33:36,Syndra,1,3,5
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,26:08,Azir,8,2,6
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Fnatic,31:26,Ahri,4,2,13
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,MAD Lions,40:10,Neeko,5,5,6
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team BDS,31:47,Jayce,4,2,9
2023-05-16,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,29:50,K'Sante,1,4,2
2023-05-16,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,36:39,Annie,3,5,8
2023-05-16,INT MSI 2023,13.8,Win,Blue,Bilibili Gaming,36:58,Syndra,3,3,9
2023-05-16,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,29:49,Yasuo,1,7,6
2023-05-13,INT MSI 2023,13.8,Win,Blue,MAD Lions,25:54,Nautilus,0,3,8
2023-05-13,INT MSI 2023,13.8,Win,Blue,MAD Lions,28:33,Nautilus,0,5,14
2023-05-13,INT MSI 2023,13.8,Win,Red,MAD Lions,22:56,Annie,3,0,12
2023-05-09,INT MSI 2023,13.8,Loss,Red,Gen.G,29:29,Aurelion Sol,4,5,1
2023-05-09,INT MSI 2023,13.8,Win,Blue,Gen.G,32:27,Annie,2,0,8
2023-05-09,INT MSI 2023,13.8,Loss,Blue,Gen.G,19:47,Annie,1,6,1
2023-05-09,INT MSI 2023,13.8,Loss,Red,Gen.G,27:27,Lissandra,0,6,2
2023-05-04,INT MSI 2023,13.8,Win,Red,PSG Talon,26:55,Lissandra,2,2,22
2023-05-04,INT MSI 2023,13.8,Win,Blue,PSG Talon,40:26,Gragas,7,1,12
2023-05-02,INT MSI 2023,13.8,Win,Blue,LOUD,20:13,Nautilus,1,3,10
2023-05-02,INT MSI 2023,13.8,Win,Blue,LOUD,32:47,Nautilus,1,3,20
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,27:15,Cassiopeia,1,4,2
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,30:42,Nocturne,2,2,4
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,25:34,Annie,1,5,8
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,32:41,Cassiopeia,2,3,1
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,27:42,Aurelion Sol,5,4,9
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Win,Red,KOI (Spanish Team),35:25,Yone,1,3,4
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,KOI (Spanish Team),21:22,Sejuani,4,1,6
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,KOI (Spanish Team),27:53,Tristana,2,6,1
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Win,Red,SK Gaming,23:46,Cassiopeia,5,5,3
