Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,37:33,Samira,5,5,8
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,30:03,Ashe,0,3,5
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,Excel Esports,39:14,Kai'Sa,2,3,7
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,29:03,Xayah,2,3,4
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,29:22,Ezreal,1,1,2
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,SK Gaming,30:09,Draven,2,4,0
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,27:05,Xayah,3,4,1
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Excel Esports,38:30,Jinx,5,4,5
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Fnatic,28:23,Aphelios,1,4,1
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,Astralis,26:51,Xayah,8,1,7
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Blue,KOI (Spanish Team),40:19,Aphelios,7,0,6
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,G2 Esports,40:10,Xayah,9,5,10
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,29:56,Aphelios,3,3,7
2023-05-13,INT MSI 2023,13.8,Loss,Red,G2 Esports,25:54,Aphelios,2,4,2
2023-05-13,INT MSI 2023,13.8,Loss,Red,G2 Esports,28:33,Aphelios,6,3,7
2023-05-13,INT MSI 2023,13.8,Loss,Blue,G2 Esports,22:56,Jinx,5,5,3
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,16:50,Ezreal,1,4,1
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,24:23,Xayah,0,3,1
