Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,37:33,Rumble,7,3,9
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,30:03,Rumble,2,5,2
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,Excel Esports,39:14,K'Sante,2,3,3
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,29:03,Ornn,0,3,2
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,29:22,Kennen,0,5,1
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,SK Gaming,30:09,Gnar,0,5,2
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,27:05,Gragas,1,6,6
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Excel Esports,38:30,K'Sante,1,6,2
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Fnatic,28:23,Jayce,2,4,1
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,Astralis,26:51,Poppy,3,1,9
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Blue,KOI (Spanish Team),40:19,Gragas,2,4,9
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,G2 Esports,40:10,K'Sante,8,1,9
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,29:56,K'Sante,4,0,7
2023-05-13,INT MSI 2023,13.8,Loss,Red,G2 Esports,25:54,K'Sante,1,3,2
2023-05-13,INT MSI 2023,13.8,Loss,Red,G2 Esports,28:33,Irelia,1,5,1
2023-05-13,INT MSI 2023,13.8,Loss,Blue,G2 Esports,22:56,Gnar,1,3,1
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,16:50,K'Sante,0,2,1
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,24:23,Kennen,1,4,0
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,33:29,Kennen,3,6,4
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team BDS,28:03,Gwen,5,0,5
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team BDS,23:52,Jayce,6,0,3
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,Team BDS,29:22,K'Sante,3,0,9
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,Team BDS,30:59,Jayce,7,5,6
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team BDS,33:31,K'Sante,2,2,5
