Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,28:36,Kai'Sa,0,3,3
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,41:35,Ezreal,2,4,5
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,G2 Esports,28:25,Sivir,0,2,0
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,G2 Esports,32:05,Ashe,1,3,7
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,28:35,Sivir,10,0,9
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,28:25,Aphelios,1,3,1
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,32:42,Aphelios,3,0,1
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,SK Gaming,35:15,Aphelios,0,3,6
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Heretics,37:50,Zeri,3,1,8
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Fnatic,29:29,Zeri,1,6,3
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Red,MAD Lions,40:19,Xayah,3,4,4
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,29:37,Aphelios,1,3,0
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Excel Esports,35:18,Xayah,6,1,5
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,G2 Esports,35:25,Sivir,2,1,2
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,G2 Esports,21:22,Lucian,0,2,1
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Win,Red,G2 Esports,27:53,Zeri,3,2,5
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team BDS,28:11,Caitlyn,3,3,3
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Team BDS,29:07,Aphelios,3,4,3
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Win,Red,G2 Esports,28:02,Sivir,12,0,12
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,G2 Esports,31:33,Zeri,5,2,9
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,G2 Esports,30:36,Zeri,1,1,0
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team Vitality,26:38,Xayah,0,3,0
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team BDS,39:35,Varus,0,5,5
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Excel Esports,41:28,Zeri,3,3,8
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Fnatic,31:50,Kalista,3,3,0
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Win,Red,SK Gaming,36:30,Kai'Sa,7,1,7
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Win,Blue,G2 Esports,31:06,Kai'Sa,7,0,5
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Red,MAD Lions,30:12,Draven,2,0,3
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Team Heretics,46:53,Lucian,2,4,12
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Astralis,28:23,Zeri,1,2,1
2023-02-25,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Blue,MAD Lions,29:16,Ezreal,7,2,5
2023-02-25,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Blue,MAD Lions,31:05,Varus,2,2,5
2023-02-25,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,MAD Lions,35:08,Varus,2,5,5
2023-02-25,EMEA LEC 2023 Winter Playoffs,13.1,Win,Blue,MAD Lions,27:33,Kalista,7,0,10
2023-02-20,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,G2 Esports,38:58,Varus,7,6,8
2023-02-20,EMEA LEC 2023 Winter Playoffs,13.1,Win,Blue,G2 Esports,26:29,Sivir,8,0,7
2023-02-20,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Blue,G2 Esports,23:25,Lucian,1,3,0
2023-02-20,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,G2 Esports,28:50,Lucian,2,4,3
2023-02-13,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team Vitality,26:34,Sivir,8,1,10
2023-02-13,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team Vitality,33:19,Zeri,7,0,5
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Win,Red,SK Gaming,35:37,Lucian,10,0,7
