Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,Team Heretics,29:10,Samira,1,4,1
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,38:39,Samira,4,3,4
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,G2 Esports,32:09,Kai'Sa,3,4,3
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,G2 Esports,28:27,Varus,4,8,5
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Team Heretics,26:36,Varus,6,2,5
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team Heretics,26:18,Zeri,4,0,7
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,29:33,Vayne,1,3,1
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Blue,MAD Lions,29:22,Aphelios,4,0,2
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,33:57,Varus,6,2,9
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,42:57,Aphelios,2,3,0
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,32:41,Jinx,2,2,3
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Excel Esports,38:10,Aphelios,2,3,4
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,SK Gaming,26:26,Zeri,4,0,8
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Astralis,25:38,Aphelios,1,2,1
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,KOI (Spanish Team),29:37,Zeri,2,1,4
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,31:47,Xayah,2,4,1
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,28:03,Jinx,0,3,0
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,23:52,Aphelios,4,3,1
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,29:22,Zeri,1,3,1
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,MAD Lions,30:59,Jinx,10,2,11
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,33:31,Zeri,12,0,4
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,Team Vitality,35:14,Jinx,7,1,8
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team Vitality,33:14,Aphelios,6,1,12
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,Team Vitality,36:33,Aphelios,4,0,4
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Red,KOI (Spanish Team),28:11,Xayah,10,0,4
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,KOI (Spanish Team),29:07,Zeri,6,3,13
