Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-09,EMEA LFL 2023 Summer Playoffs,13.14,Loss,Blue,Team GO,38:58,Viego,2,4,4
2023-08-09,EMEA LFL 2023 Summer Playoffs,13.14,Win,Red,Team GO,28:23,Maokai,5,1,6
2023-08-09,EMEA LFL 2023 Summer Playoffs,13.14,Loss,Blue,Team GO,33:41,Viego,2,4,5
2023-08-09,EMEA LFL 2023 Summer Playoffs,13.14,Loss,Red,Team GO,29:04,Nautilus,1,4,8
2023-08-09,EMEA LFL 2023 Summer Playoffs,13.14,Win,Red,Team GO,32:38,Maokai,2,1,15
2023-08-03,EMEA LFL 2023 Summer Playoffs,13.14,Win,Red,Solary,25:41,Nautilus,2,2,16
2023-08-03,EMEA LFL 2023 Summer Playoffs,13.14,Win,Red,Solary,26:57,Maokai,0,1,7
2023-08-03,EMEA LFL 2023 Summer Playoffs,13.14,Win,Red,Solary,26:16,Poppy,1,1,5
2023-07-27,EMEA LFL 2023 Summer,13.14,Loss,Blue,Izi Dream,34:34,Nocturne,2,5,4
2023-07-26,EMEA LFL 2023 Summer,13.14,Loss,Blue,Solary,35:49,Viego,9,8,12
2023-07-20,EMEA LFL 2023 Summer,13.13,Win,Red,Karmine Corp,31:38,Viego,7,2,6
2023-07-19,EMEA LFL 2023 Summer,13.13,Win,Blue,LDLC OL,36:50,Lillia,8,1,4
2023-07-13,EMEA LFL 2023 Summer,13.13,Loss,Red,GameWard,34:27,Viego,3,4,5
2023-07-12,EMEA LFL 2023 Summer,13.13,Loss,Red,Team GO,38:22,Maokai,4,3,5
2023-07-06,EMEA LFL 2023 Summer,13.13,Win,Red,Team BDS Academy,27:35,Maokai,3,1,13
2023-07-05,EMEA LFL 2023 Summer,13.13,Win,Red,Aegis (French Team),40:53,Rell,2,6,12
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Excel Esports,28:26,Viego,2,3,1
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,33:57,Maokai,2,3,15
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,KOI (Spanish Team),32:42,Maokai,1,1,3
2023-06-29,EMEA LFL 2023 Summer,13.11,Win,Red,BK ROG Esports,28:54,Viego,6,0,5
2023-06-28,EMEA LFL 2023 Summer,13.11,Win,Blue,Izi Dream,30:14,Kayn,1,1,8
2023-06-22,EMEA LFL 2023 Summer,13.11,Loss,Blue,GameWard,26:03,Vi,0,2,2
2023-06-21,EMEA LFL 2023 Summer,13.11,Loss,Blue,Team GO,42:14,Vi,3,4,5
2023-06-15,EMEA LFL 2023 Summer,13.11,Loss,Blue,LDLC OL,29:04,Viego,0,3,5
2023-06-14,EMEA LFL 2023 Summer,13.11,Win,Red,Karmine Corp,28:26,Wukong,3,0,8
2023-06-08,EMEA LFL 2023 Summer,13.10,Loss,Red,Aegis (French Team),25:53,Nocturne,0,4,1
2023-06-07,EMEA LFL 2023 Summer,13.10,Win,Red,Solary,27:10,Nocturne,4,1,6
2023-06-01,EMEA LFL 2023 Summer,13.10,Loss,Red,Team BDS Academy,31:19,Wukong,2,4,3
2023-05-31,EMEA LFL 2023 Summer,13.10,Loss,Blue,BK ROG Esports,25:37,Bel'Veth,0,3,0
2023-03-16,EMEA LFL 2023 Spring,13.4,Loss,Red,Aegis (French Team),26:22,Wukong,0,6,3
2023-03-15,EMEA LFL 2023 Spring,13.4,Loss,Blue,LDLC OL,28:05,Vi,0,2,3
2023-03-09,EMEA LFL 2023 Spring,13.4,Loss,Blue,Karmine Corp,39:28,Vi,5,6,5
2023-03-08,EMEA LFL 2023 Spring,13.4,Win,Red,Solary,30:37,Lee Sin,4,0,7
2023-03-03,EMEA LFL 2023 Spring,13.3,Win,Red,Izi Dream,35:35,Wukong,2,1,9
2023-03-02,EMEA LFL 2023 Spring,13.3,Loss,Red,Team BDS Academy,38:10,Elise,7,3,5
2023-03-01,EMEA LFL 2023 Spring,13.3,Win,Red,GameWard,48:28,Wukong,1,1,12
2023-02-23,EMEA LFL 2023 Spring,13.3,Loss,Red,BK ROG Esports,29:42,Jarvan IV,0,6,2
2023-02-22,EMEA LFL 2023 Spring,13.3,Loss,Red,Team GO,29:04,Sejuani,2,4,4
2023-02-16,EMEA LFL 2023 Spring,13.1,Loss,Blue,Karmine Corp,38:16,Udyr,2,3,6
2023-02-09,EMEA LFL 2023 Spring,13.1,Win,Blue,LDLC OL,35:30,Sejuani,2,1,6
2023-02-08,EMEA LFL 2023 Spring,13.1,Loss,Blue,Solary,30:55,Bel'Veth,3,3,7
2023-02-02,EMEA LFL 2023 Spring,13.1,Win,Blue,Team BDS Academy,23:34,Wukong,4,2,8
2023-02-01,EMEA LFL 2023 Spring,13.1,Win,Red,GameWard,47:36,Elise,3,3,9
2023-01-26,EMEA LFL 2023 Spring,13.1,Win,Blue,Izi Dream,49:21,Hecarim,9,5,10
2023-01-25,EMEA LFL 2023 Spring,13.1,Loss,Red,Team GO,36:25,Viego,1,3,7
2023-01-19,EMEA LFL 2023 Spring,13.1,Win,Red,BK ROG Esports,37:09,Sejuani,3,5,8
2023-01-18,EMEA LFL 2023 Spring,13.1,Win,Blue,Aegis (French Team),29:06,Maokai,2,0,17
