Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,34:58,Rakan,0,5,14
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,26:40,Alistar,1,4,1
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,32:08,Nautilus,1,5,6
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Excel Esports,28:13,Rakan,0,1,8
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,34:36,Nautilus,0,2,11
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Fnatic,34:47,Rakan,0,2,14
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Fnatic,32:35,Alistar,0,0,6
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Fnatic,31:03,Milio,0,4,14
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,MAD Lions,30:09,Milio,0,1,23
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Astralis,34:20,Rakan,0,3,9
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Red,KOI (Spanish Team),35:15,Milio,1,1,9
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,33:36,Lulu,0,1,10
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team BDS,26:26,Nautilus,0,1,1
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Red,Excel Esports,37:21,Milio,0,2,14
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team Vitality,30:55,Rakan,1,2,9
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,37:42,Yuumi,0,6,12
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,G2 Esports,23:46,Renata Glasc,0,2,7
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,G2 Esports,29:53,Lulu,1,2,7
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team BDS,28:54,Lulu,0,4,4
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Team BDS,30:30,Nautilus,0,4,2
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Heretics,32:20,Braum,1,6,4
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Loss,Red,MAD Lions,34:50,Lulu,0,7,6
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,G2 Esports,28:44,Nami,0,3,11
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,30:39,Soraka,1,0,5
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,KOI (Spanish Team),36:30,Thresh,1,3,5
