Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,37:33,Vi,1,6,6
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,30:03,Rell,0,3,5
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,Excel Esports,39:14,Nocturne,0,1,4
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,29:03,Poppy,1,3,6
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,29:22,Vi,3,3,0
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,SK Gaming,30:09,Sejuani,1,4,1
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,27:05,Rek'Sai,3,5,4
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Excel Esports,38:30,Wukong,6,2,5
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Fnatic,28:23,Sejuani,1,2,2
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,Astralis,26:51,Wukong,7,2,9
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Blue,KOI (Spanish Team),40:19,Wukong,3,3,7
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,G2 Esports,40:10,Wukong,6,3,11
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,29:56,Gragas,2,2,7
2023-05-13,INT MSI 2023,13.8,Loss,Red,G2 Esports,25:54,Wukong,2,1,2
2023-05-13,INT MSI 2023,13.8,Loss,Red,G2 Esports,28:33,Elise,6,4,8
2023-05-13,INT MSI 2023,13.8,Loss,Blue,G2 Esports,22:56,Maokai,3,4,4
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,16:50,Lee Sin,2,6,1
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,24:23,Lee Sin,2,4,2
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,33:29,Lee Sin,9,3,6
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team BDS,28:03,Vi,3,0,8
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team BDS,23:52,Sejuani,0,1,10
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,Team BDS,29:22,Vi,1,0,11
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,Team BDS,30:59,Vi,0,4,10
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team BDS,33:31,Wukong,2,4,9
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team Vitality,29:05,Vi,1,0,12
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,Team Vitality,37:14,Lee Sin,5,0,9
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team Vitality,26:50,Sejuani,5,4,3
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team Vitality,27:47,Vi,3,1,12
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,G2 Esports,27:15,Wukong,6,0,4
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,G2 Esports,30:42,Wukong,0,4,4
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,G2 Esports,25:34,Sejuani,3,3,16
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,G2 Esports,32:41,Lee Sin,3,1,8
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,G2 Esports,27:42,Lee Sin,3,4,2
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,32:09,Vi,3,4,21
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,37:58,Trundle,4,2,16
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,Fnatic,36:08,Vi,7,4,20
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Fnatic,29:02,Sejuani,1,3,6
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,Fnatic,30:00,Vi,2,0,9
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team Vitality,29:13,Vi,2,2,5
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Team Vitality,33:03,Trundle,0,4,6
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team Heretics,34:39,Maokai,2,4,10
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,G2 Esports,28:07,Vi,4,6,5
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Blue,SK Gaming,34:50,Lee Sin,6,2,15
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Fnatic,31:40,Lee Sin,1,2,6
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team Heretics,36:29,Wukong,1,6,10
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Excel Esports,35:02,Lee Sin,1,3,5
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Win,Red,Astralis,28:23,Wukong,7,1,11
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Win,Blue,KOI (Spanish Team),30:12,Lee Sin,3,1,5
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team BDS,32:07,Vi,1,6,2
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Vitality,28:05,Lee Sin,2,1,0
