Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Fnatic,26:16,Lillia,1,3,1
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,Fnatic,29:01,K'Sante,1,5,4
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Fnatic,30:09,Renekton,1,4,4
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Fnatic,31:02,Poppy,2,2,6
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Team BDS,29:10,Renekton,3,2,8
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team BDS,38:39,Ornn,1,0,11
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,KOI (Spanish Team),28:36,Ornn,0,2,12
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,KOI (Spanish Team),41:35,Renekton,5,3,7
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,Team BDS,26:36,Ornn,0,5,4
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team BDS,26:18,K'Sante,0,3,5
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team BDS,29:33,Renekton,2,2,7
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,G2 Esports,34:58,Renekton,0,5,1
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Fnatic,33:36,K'Sante,0,6,4
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Red,MAD Lions,27:05,Poppy,1,7,12
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team BDS,32:41,K'Sante,1,1,6
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,KOI (Spanish Team),37:50,K'Sante,0,1,1
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Excel Esports,30:07,Renekton,0,6,2
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,33:03,Sion,0,3,8
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Red,Astralis,29:44,Renekton,4,1,8
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Red,SK Gaming,37:42,Sion,1,4,13
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,MAD Lions,34:39,Renekton,4,1,7
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Blue,SK Gaming,32:20,K'Sante,4,1,11
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Vitality,37:56,Jax,8,3,2
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Astralis,28:32,Gragas,1,3,4
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Win,Red,MAD Lions,36:29,Gwen,4,3,11
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Fnatic,40:39,Sion,0,11,5
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Excel Esports,37:31,Sion,5,5,10
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team BDS,31:30,Gragas,1,2,2
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Loss,Red,KOI (Spanish Team),46:53,Tryndamere,6,4,4
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Loss,Red,G2 Esports,23:41,Gwen,1,4,3
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,SK Gaming,39:22,K'Sante,1,4,5
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,SK Gaming,29:23,Jax,3,2,0
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,Team Vitality,39:41,Jax,3,4,6
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team Vitality,26:30,K'Sante,1,2,6
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,Team Vitality,26:56,K'Sante,0,3,1
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Loss,Red,Team BDS,37:53,Renekton,4,6,7
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,MAD Lions,33:26,Renekton,1,4,4
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Win,Red,Excel Esports,26:17,Jax,3,1,3
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Win,Red,Fnatic,40:41,K'Sante,5,6,7
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,G2 Esports,18:46,K'Sante,1,5,0
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Win,Blue,KOI (Spanish Team),44:34,K'Sante,6,3,8
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,SK Gaming,32:09,K'Sante,5,3,7
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Loss,Red,Team Vitality,28:22,K'Sante,2,5,3
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Win,Red,Astralis,35:55,K'Sante,6,6,8
