Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,34:58,Xayah,4,4,6
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,26:40,Kai'Sa,1,2,1
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,32:08,Ezreal,3,1,3
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Excel Esports,28:13,Xayah,0,1,4
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,34:36,Ziggs,1,1,8
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Fnatic,34:47,Xayah,5,0,5
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Fnatic,32:35,Kai'Sa,5,0,2
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Fnatic,31:03,Jinx,7,5,5
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,MAD Lions,30:09,Aphelios,3,1,11
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Astralis,34:20,Jinx,5,4,3
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Red,KOI (Spanish Team),35:15,Jinx,4,0,6
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,33:36,Aphelios,2,2,6
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team BDS,26:26,Aphelios,1,1,1
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Red,Excel Esports,37:21,Jinx,8,4,6
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team Vitality,30:55,Jinx,4,4,6
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,37:42,Zeri,7,7,4
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,G2 Esports,23:46,Aphelios,3,2,2
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,G2 Esports,29:53,Zeri,3,4,3
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team BDS,28:54,Aphelios,2,3,1
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Team BDS,30:30,Xayah,2,2,2
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Heretics,32:20,Varus,0,5,7
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Loss,Red,MAD Lions,34:50,Zeri,6,2,3
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,G2 Esports,28:44,Lucian,1,1,5
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,30:39,Draven,1,0,3
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,KOI (Spanish Team),36:30,Xayah,4,2,1
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Vitality,30:58,Zeri,2,2,3
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Astralis,24:14,Aphelios,2,1,5
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Fnatic,31:49,Aphelios,2,1,1
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team BDS,36:05,Xayah,5,4,8
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,MAD Lions,28:13,Lucian,3,3,4
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Win,Blue,MAD Lions,33:30,Aphelios,7,3,10
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,MAD Lions,24:33,Lucian,7,6,1
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Win,Blue,MAD Lions,32:39,Zeri,7,1,5
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,MAD Lions,32:13,Varus,1,2,3
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team Vitality,24:02,Draven,3,0,9
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team Vitality,39:46,Zeri,6,2,5
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team Heretics,39:22,Zeri,5,4,6
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team Heretics,29:23,Zeri,3,0,5
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,KOI (Spanish Team),35:37,Caitlyn,1,3,3
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,KOI (Spanish Team),27:34,Xayah,2,1,1
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Fnatic,29:56,Caitlyn,5,1,6
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Excel Esports,35:02,Zeri,6,0,6
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Loss,Red,Astralis,38:42,Lucian,13,4,6
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Win,Blue,KOI (Spanish Team),29:38,Lucian,6,0,4
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Win,Red,Team Vitality,31:08,Zeri,1,0,4
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Win,Blue,G2 Esports,34:42,Sivir,7,4,9
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Win,Red,Team Heretics,32:09,Zeri,7,1,9
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team BDS,40:12,Varus,0,4,3
