Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Red,KOI (Spanish Team),28:35,K'Sante,1,4,2
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Excel Esports,30:04,Renekton,0,2,0
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,34:20,Renekton,2,2,9
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,27:43,K'Sante,2,2,0
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,34:30,Gragas,0,0,10
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,MAD Lions,26:51,Sion,1,3,5
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team BDS,25:38,Rumble,4,0,6
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,29:44,Sion,0,6,6
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,25:54,Renekton,5,3,2
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,MAD Lions,32:09,Renekton,2,7,4
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,MAD Lions,37:58,K'Sante,0,4,2
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team Vitality,23:11,Olaf,2,5,2
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team Vitality,30:25,Olaf,7,6,2
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,Fnatic,33:19,Malphite,1,2,8
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Fnatic,30:02,Illaoi,2,2,1
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,Fnatic,33:48,Gangplank,1,2,7
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Fnatic,37:03,Jax,7,2,6
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,21:51,Jax,2,0,3
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team Heretics,28:32,Jax,1,1,6
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Team Vitality,30:17,Sion,2,2,6
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team BDS,34:27,Sion,2,1,8
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,MAD Lions,28:23,Kled,3,5,2
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Red,SK Gaming,24:14,Jax,0,3,4
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Blue,G2 Esports,33:08,Renekton,3,4,7
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,KOI (Spanish Team),28:23,Renekton,1,0,4
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,MAD Lions,25:11,Gwen,1,5,0
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,MAD Lions,31:32,Gangplank,2,2,6
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team BDS,28:45,Kled,3,2,3
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team BDS,39:02,Gnar,2,3,4
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,Team BDS,36:11,Sion,1,2,1
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,MAD Lions,29:13,Jax,3,5,1
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,MAD Lions,27:12,Jax,1,1,8
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,MAD Lions,27:32,Jax,3,2,0
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Loss,Red,KOI (Spanish Team),30:47,Kled,0,3,1
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Fnatic,26:58,Gnar,3,0,7
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Win,Blue,SK Gaming,38:42,Gangplank,9,4,2
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Win,Red,Excel Esports,31:24,Gnar,4,1,12
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team BDS,31:51,K'Sante,1,4,2
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Loss,Red,Team Vitality,31:32,K'Sante,1,3,2
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Loss,Red,G2 Esports,24:54,Aatrox,0,4,1
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,MAD Lions,29:21,K'Sante,2,3,1
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team Heretics,35:55,Fiora,3,5,2
