Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Fnatic,26:16,Xayah,0,5,3
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,Fnatic,29:01,Aphelios,2,1,0
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Fnatic,30:09,Sivir,3,4,3
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Fnatic,31:02,Varus,3,2,8
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Team BDS,29:10,Aphelios,4,1,8
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team BDS,38:39,Xayah,1,4,5
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,KOI (Spanish Team),28:36,Xayah,6,0,3
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,KOI (Spanish Team),41:35,Xayah,7,1,4
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,Team BDS,26:36,Aphelios,0,3,5
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team BDS,26:18,Seraphine,2,3,2
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team BDS,29:33,Ziggs,3,0,7
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,G2 Esports,34:58,Zeri,4,1,1
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Fnatic,33:36,Varus,3,1,4
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Red,MAD Lions,27:05,Aphelios,1,2,8
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team BDS,32:41,Aphelios,6,3,5
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,KOI (Spanish Team),37:50,Aphelios,3,2,2
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Excel Esports,30:07,Draven,5,3,1
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,33:03,Zeri,5,0,5
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Red,Astralis,29:44,Draven,11,2,3
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Red,SK Gaming,37:42,Lucian,15,2,11
2023-04-26,EMEA EM 2023 Spring Main Event,13.6,Loss,Blue,Unicorns of Love Sexy Edition,34:08,Aphelios,3,3,4
2023-04-26,EMEA EM 2023 Spring Main Event,13.6,Loss,Red,Unicorns of Love Sexy Edition,39:41,Jinx,7,5,8
2023-04-26,EMEA EM 2023 Spring Main Event,13.6,Win,Blue,Unicorns of Love Sexy Edition,35:04,Aphelios,12,2,7
2023-04-26,EMEA EM 2023 Spring Main Event,13.6,Loss,Blue,Unicorns of Love Sexy Edition,30:36,Zeri,2,3,3
2023-04-20,EMEA EM 2023 Spring Main Event,13.6,Win,Blue,Team GO,29:37,Draven,5,0,8
2023-04-20,EMEA EM 2023 Spring Main Event,13.6,Loss,Red,Team GO,44:36,Aphelios,3,4,1
2023-04-20,EMEA EM 2023 Spring Main Event,13.6,Win,Red,Team GO,27:03,Jinx,9,1,8
2023-04-20,EMEA EM 2023 Spring Main Event,13.6,Win,Blue,Team GO,23:22,Jinx,7,0,4
2023-04-20,EMEA EM 2023 Spring Main Event,13.6,Loss,Red,Team GO,36:56,Zeri,4,6,2
