Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Excel Esports,28:15,Tristana,5,7,9
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,35:40,Annie,3,3,6
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,Excel Esports,30:15,Jayce,2,5,1
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Excel Esports,28:42,Annie,1,6,6
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Team Heretics,26:16,Jayce,4,1,8
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Team Heretics,29:01,Tristana,4,1,8
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Team Heretics,30:09,Jayce,4,3,11
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,Team Heretics,31:02,Jayce,2,3,3
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,34:58,Tristana,6,3,8
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,26:40,Annie,1,1,6
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,MAD Lions,37:33,Jayce,17,5,4
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,MAD Lions,30:03,Jayce,5,3,8
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,SK Gaming,34:47,Azir,0,4,4
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,SK Gaming,32:35,Azir,1,3,2
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Red,SK Gaming,31:03,Xerath,5,1,4
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Heretics,33:36,Ryze,2,2,7
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team BDS,42:57,Syndra,5,2,4
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,32:10,Ahri,2,1,10
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Red,MAD Lions,28:23,Orianna,6,1,6
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,KOI (Spanish Team),29:29,Syndra,6,0,6
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,31:26,Neeko,1,8,4
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Excel Esports,32:57,Annie,2,3,13
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,25:54,LeBlanc,5,1,12
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,MAD Lions,36:08,Ahri,5,8,13
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,MAD Lions,29:02,Jayce,6,2,4
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,MAD Lions,30:00,Ahri,1,3,5
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Astralis,33:19,Orianna,3,4,11
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,30:02,Lissandra,7,2,10
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Astralis,33:48,Lissandra,1,3,9
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Astralis,37:03,LeBlanc,6,3,6
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Red,G2 Esports,32:44,Azir,3,5,13
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Win,Blue,MAD Lions,31:40,Azir,2,1,11
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Win,Blue,KOI (Spanish Team),31:50,Azir,2,1,10
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team Heretics,40:39,Taliyah,9,1,13
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team BDS,34:02,Ryze,3,4,3
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team Vitality,23:29,LeBlanc,0,1,2
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Loss,Red,SK Gaming,31:49,Azir,0,3,1
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Excel Esports,30:11,Taliyah,1,3,2
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Loss,Red,SK Gaming,29:56,Azir,0,4,3
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Loss,Red,Astralis,26:58,Azir,1,3,1
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,MAD Lions,24:52,Sylas,0,5,4
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team Heretics,40:41,Ryze,2,5,11
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Win,Red,Excel Esports,35:06,Kassadin,4,3,4
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team BDS,38:08,Azir,1,6,4
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Win,Red,KOI (Spanish Team),34:32,Jayce,6,1,6
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,G2 Esports,23:55,Azir,1,4,3
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Loss,Red,Team Vitality,33:03,Syndra,5,3,4
