Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,37:33,Rell,1,7,14
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,30:03,Milio,0,4,5
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,Excel Esports,39:14,Nautilus,1,8,5
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,29:03,Rakan,2,5,4
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,29:22,Rakan,0,3,2
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,SK Gaming,30:09,Blitzcrank,0,8,3
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,27:05,Milio,0,2,4
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Excel Esports,38:30,Rakan,1,5,11
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Fnatic,28:23,Yuumi,0,2,3
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,Astralis,26:51,Rakan,0,3,16
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Blue,KOI (Spanish Team),40:19,Rakan,0,4,12
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,G2 Esports,40:10,Milio,1,5,18
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,29:56,Yuumi,1,1,10
2023-05-13,INT MSI 2023,13.8,Loss,Red,G2 Esports,25:54,Braum,2,5,2
2023-05-13,INT MSI 2023,13.8,Loss,Red,G2 Esports,28:33,Braum,0,3,14
2023-05-13,INT MSI 2023,13.8,Loss,Blue,G2 Esports,22:56,Leona,0,6,6
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,16:50,Annie,1,5,2
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,24:23,Rell,1,6,2
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,33:29,Pyke,2,7,8
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team BDS,28:03,Annie,1,0,7
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team BDS,23:52,Pyke,1,3,1
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,Team BDS,29:22,Thresh,2,1,12
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,Team BDS,30:59,Annie,1,6,9
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team BDS,33:31,Blitzcrank,1,5,6
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team Vitality,29:05,Thresh,0,2,7
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,Team Vitality,37:14,Nautilus,0,2,8
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team Vitality,26:50,Renata Glasc,1,6,6
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team Vitality,27:47,Nautilus,0,3,12
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,G2 Esports,27:15,Pyke,2,4,4
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,G2 Esports,30:42,Rell,0,6,4
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,G2 Esports,25:34,Blitzcrank,3,2,9
