Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,34:58,Sion,0,8,8
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,26:40,Jax,2,2,0
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,32:08,Jax,3,2,4
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Excel Esports,28:13,Renekton,4,1,2
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,34:36,Renekton,4,5,6
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Fnatic,34:47,Gwen,5,3,4
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Fnatic,32:35,Gnar,4,1,4
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Fnatic,31:03,Jax,4,4,3
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,MAD Lions,30:09,Gragas,5,2,9
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Astralis,34:20,Gragas,1,3,6
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Red,KOI (Spanish Team),35:15,Jax,3,3,4
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,33:36,Gwen,5,3,2
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team BDS,26:26,Renekton,3,6,0
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Red,Excel Esports,37:21,Gnar,1,2,6
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team Vitality,30:55,Ornn,1,1,6
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,37:42,Gragas,0,5,6
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,G2 Esports,23:46,Jayce,0,5,8
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,G2 Esports,29:53,K'Sante,2,7,0
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team BDS,28:54,Gnar,1,2,3
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Team BDS,30:30,Rumble,2,4,3
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Heretics,32:20,Jax,1,6,1
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Loss,Red,MAD Lions,34:50,Sion,1,6,5
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,G2 Esports,28:44,Sion,3,4,3
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,30:39,Jax,1,0,4
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,KOI (Spanish Team),36:30,Sion,1,2,2
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Vitality,30:58,Gnar,1,4,3
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Astralis,24:14,Sejuani,1,1,10
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Fnatic,31:49,Renekton,6,1,7
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team BDS,36:05,Gnar,2,0,9
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,MAD Lions,28:13,Renekton,1,6,2
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Win,Blue,MAD Lions,33:30,Sion,3,3,6
