Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Red,KOI (Spanish Team),28:35,Nautilus,0,7,3
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Excel Esports,30:04,Pyke,1,2,1
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,34:20,Nautilus,0,3,13
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,27:43,Yuumi,0,0,2
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,34:30,Rakan,0,4,10
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,MAD Lions,26:51,Nautilus,0,6,5
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team BDS,25:38,Blitzcrank,3,1,6
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,29:44,Nami,1,4,8
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,25:54,Rakan,1,4,8
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,MAD Lions,32:09,Nautilus,0,5,11
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,MAD Lions,37:58,Nautilus,0,8,8
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team Vitality,23:11,Nautilus,0,5,2
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team Vitality,30:25,Nami,0,4,14
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,Fnatic,33:19,Nami,0,3,13
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Fnatic,30:02,Rakan,0,4,5
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,Fnatic,33:48,Leona,1,4,7
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Fnatic,37:03,Blitzcrank,0,4,21
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,21:51,Ashe,0,3,10
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team Heretics,28:32,Nautilus,0,3,11
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Team Vitality,30:17,Annie,3,3,14
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team BDS,34:27,Leona,1,3,7
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,MAD Lions,28:23,Rakan,2,4,5
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Red,SK Gaming,24:14,Pyke,1,5,1
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Blue,G2 Esports,33:08,Leona,3,4,14
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,KOI (Spanish Team),28:23,Nautilus,1,1,5
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,MAD Lions,25:11,Nami,1,4,5
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,MAD Lions,31:32,Nami,0,6,10
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team BDS,28:45,Nautilus,1,0,10
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team BDS,39:02,Ashe,2,1,8
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,Team BDS,36:11,Lux,1,6,5
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,MAD Lions,29:13,Twitch,5,5,3
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,MAD Lions,27:12,Nami,2,2,20
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,MAD Lions,27:32,Karma,2,6,4
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Loss,Red,KOI (Spanish Team),30:47,Yuumi,0,3,1
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Fnatic,26:58,Nami,0,0,16
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Win,Blue,SK Gaming,38:42,Karma,0,8,12
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Win,Red,Excel Esports,31:24,Nami,1,1,18
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team BDS,31:51,Ashe,1,4,5
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Loss,Red,Team Vitality,31:32,Yuumi,0,3,10
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Loss,Red,G2 Esports,24:54,Lux,1,5,1
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,MAD Lions,29:21,Bard,0,2,2
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team Heretics,35:55,Ashe,1,6,10
