Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Excel Esports,28:26,Yuumi,0,4,4
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,33:57,Nautilus,2,5,12
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,KOI (Spanish Team),32:42,Soraka,0,1,4
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,32:10,Rakan,1,5,3
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Astralis,34:30,Lulu,0,3,7
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,G2 Esports,26:08,Rakan,0,4,5
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team Heretics,33:03,Nautilus,1,2,5
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,30:55,Nautilus,0,4,12
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,MAD Lions,29:56,Milio,1,1,4
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,29:05,Tahm Kench,0,2,5
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,37:14,Tahm Kench,2,3,5
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,26:50,Nautilus,1,4,13
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,27:47,Nami,0,4,4
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team BDS,35:14,Braum,0,3,5
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,Team BDS,33:14,Nautilus,1,6,5
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team BDS,36:33,Lulu,0,2,0
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,23:11,Rakan,1,0,20
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,30:25,Nautilus,0,3,13
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Red,MAD Lions,29:13,Nautilus,2,2,12
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,MAD Lions,33:03,Lulu,2,0,13
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Red,KOI (Spanish Team),26:38,Braum,0,0,12
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Team Heretics,37:56,Lulu,0,0,18
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team BDS,41:31,Nami,1,3,11
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Astralis,30:17,Rakan,0,4,11
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Red,G2 Esports,30:59,Lulu,0,4,3
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Win,Blue,SK Gaming,30:58,Nami,1,0,10
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Win,Red,Fnatic,23:29,Rakan,1,2,16
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,30:53,Rakan,1,2,14
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,MAD Lions,28:05,Heimerdinger,1,0,14
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,SK Gaming,24:02,Leona,0,4,1
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,SK Gaming,39:46,Alistar,0,4,5
2023-02-13,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,KOI (Spanish Team),26:34,Nautilus,0,7,4
2023-02-13,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,KOI (Spanish Team),33:19,Lulu,1,2,4
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team Heretics,39:41,Renata Glasc,1,1,14
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,Team Heretics,26:30,Lux,0,5,0
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team Heretics,26:56,Karma,2,1,9
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Excel Esports,54:07,Yuumi,0,5,23
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Win,Red,Team BDS,44:34,Ashe,0,3,14
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Loss,Red,KOI (Spanish Team),33:53,Yuumi,0,3,4
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Win,Red,G2 Esports,36:51,Ashe,0,2,14
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,SK Gaming,31:08,Yuumi,1,2,3
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Astralis,31:32,Lux,0,3,10
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Win,Red,MAD Lions,29:23,Nami,0,1,14
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Team Heretics,28:22,Braum,1,2,18
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Fnatic,33:03,Leona,0,1,10
