Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Red,KOI (Spanish Team),28:35,Aphelios,2,4,2
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Excel Esports,30:04,Xayah,0,2,0
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,34:20,Aphelios,6,4,4
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,27:43,Zeri,0,1,0
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,34:30,Xayah,6,1,4
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,MAD Lions,26:51,Kai'Sa,2,4,3
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team BDS,25:38,Xayah,2,0,3
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,29:44,Lucian,3,4,5
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,25:54,Xayah,0,4,6
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,MAD Lions,32:09,Zeri,7,4,5
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,MAD Lions,37:58,Xayah,8,3,1
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team Vitality,23:11,Xayah,0,3,0
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team Vitality,30:25,Lucian,6,4,3
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,Fnatic,33:19,Lucian,4,2,6
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Fnatic,30:02,Sivir,1,4,4
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,Fnatic,33:48,Xayah,6,0,6
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Fnatic,37:03,Xayah,8,2,10
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,21:51,Varus,2,0,6
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team Heretics,28:32,Jinx,5,0,8
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Team Vitality,30:17,Varus,5,3,8
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team BDS,34:27,Zeri,6,1,5
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,MAD Lions,28:23,Kai'Sa,0,7,5
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Red,SK Gaming,24:14,Veigar,1,1,2
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Blue,G2 Esports,33:08,Xayah,9,3,7
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,KOI (Spanish Team),28:23,Xayah,4,0,3
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,MAD Lions,25:11,Lucian,1,1,3
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,MAD Lions,31:32,Lucian,7,3,4
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team BDS,28:45,Varus,6,0,0
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team BDS,39:02,Varus,9,0,2
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,Team BDS,36:11,Caitlyn,1,3,4
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,MAD Lions,29:13,Cassiopeia,1,3,7
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,MAD Lions,27:12,Lucian,9,2,11
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,MAD Lions,27:32,Ezreal,3,4,2
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Loss,Red,KOI (Spanish Team),30:47,Sivir,1,3,0
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Fnatic,26:58,Lucian,7,0,8
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Win,Blue,SK Gaming,38:42,Ezreal,2,7,8
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Win,Red,Excel Esports,31:24,Lucian,10,0,7
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team BDS,31:51,Caitlyn,3,3,3
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Loss,Red,Team Vitality,31:32,Zeri,6,2,3
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Loss,Red,G2 Esports,24:54,Caitlyn,1,2,1
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,MAD Lions,29:21,Ezreal,1,2,1
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team Heretics,35:55,Xayah,7,3,2
