Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Red,KOI (Spanish Team),28:35,Azir,0,3,4
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Excel Esports,30:04,Sylas,2,4,2
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,34:20,Azir,5,0,9
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,27:43,Neeko,1,2,1
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,34:30,Yasuo,3,3,5
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,MAD Lions,26:51,Akali,0,5,2
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team BDS,25:38,Yasuo,2,2,4
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,29:44,Neeko,3,3,4
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,25:54,Annie,3,6,7
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,MAD Lions,32:09,Talon,4,5,5
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,MAD Lions,37:58,Cassiopeia,3,6,3
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team Vitality,23:11,Sylas,3,5,1
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team Vitality,30:25,Sylas,2,7,6
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,Fnatic,33:19,Irelia,8,4,4
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Fnatic,30:02,Zed,3,6,2
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,Fnatic,33:48,Yone,3,3,8
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Fnatic,37:03,Zed,8,4,6
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,21:51,Irelia,6,2,4
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team Heretics,28:32,Zed,5,3,2
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Team Vitality,30:17,Aurelion Sol,5,1,6
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team BDS,34:27,Annie,3,5,5
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,MAD Lions,28:23,Akali,0,2,3
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Red,SK Gaming,24:14,Sylas,2,6,3
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Blue,G2 Esports,33:08,Irelia,5,5,7
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,KOI (Spanish Team),28:23,Ryze,1,2,4
