Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,G2 Esports,23:55,Rakan,0,4,3
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,37:05,Pyke,4,7,4
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,25:05,Braum,0,4,4
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Fnatic,28:15,Rell,1,2,17
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Fnatic,35:40,Rakan,0,3,2
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Fnatic,30:15,Alistar,0,2,21
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Fnatic,28:42,Nautilus,1,4,11
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,38:31,Braum,0,4,7
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,G2 Esports,32:37,Nautilus,1,6,15
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,35:20,Nautilus,1,5,8
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,G2 Esports,28:55,Alistar,3,3,23
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,31:11,Alistar,0,9,12
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,32:08,Rakan,0,4,15
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,SK Gaming,28:13,Nautilus,0,2,3
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,34:36,Braum,1,4,11
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Red,MAD Lions,39:14,Rell,0,4,15
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,MAD Lions,29:03,Rell,1,4,11
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,28:26,Milio,1,1,15
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,30:04,Milio,0,0,12
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,G2 Esports,28:25,Nautilus,1,2,3
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Red,MAD Lions,38:30,Leona,1,4,11
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team BDS,38:10,Nautilus,2,3,12
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Heretics,30:07,Nautilus,1,3,13
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,SK Gaming,37:21,Yuumi,0,4,9
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,32:57,Rakan,1,2,7
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Red,KOI (Spanish Team),35:18,Rakan,0,3,11
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team BDS,39:11,Rakan,1,3,5
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Astralis,21:51,Heimerdinger,1,2,3
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Red,KOI (Spanish Team),41:28,Nami,1,3,11
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,SK Gaming,30:39,Lulu,0,1,0
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Win,Blue,MAD Lions,35:02,Soraka,2,0,12
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Heretics,37:31,Nautilus,1,8,9
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Red,G2 Esports,25:28,Nautilus,1,5,7
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team Vitality,30:53,Heimerdinger,1,6,1
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Fnatic,30:11,Annie,1,3,7
