Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,28:36,Orianna,2,3,3
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,41:35,Azir,4,4,4
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,G2 Esports,28:25,LeBlanc,2,1,0
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,G2 Esports,32:05,Tristana,3,3,4
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,28:35,Neeko,6,1,11
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,28:25,Azir,0,2,1
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,32:42,LeBlanc,2,0,1
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,SK Gaming,35:15,Tristana,5,1,2
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Heretics,37:50,Tristana,7,0,6
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Fnatic,29:29,Viktor,1,3,2
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Red,MAD Lions,40:19,Ahri,7,1,6
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,29:37,Annie,0,1,1
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Excel Esports,35:18,Ahri,4,3,5
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,G2 Esports,35:25,Ahri,4,2,2
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,G2 Esports,21:22,Varus,2,2,0
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Win,Red,G2 Esports,27:53,Viktor,8,0,6
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team BDS,28:11,Orianna,7,4,1
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Team BDS,29:07,Akali,1,6,3
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Win,Red,G2 Esports,28:02,Akali,5,0,8
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,G2 Esports,31:33,Lissandra,6,2,12
