Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,28:36,Sejuani,0,5,5
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,41:35,Sejuani,1,2,6
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,G2 Esports,28:25,Maokai,1,4,2
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,G2 Esports,32:05,Sejuani,2,4,5
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,28:35,Vi,3,2,8
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,28:25,Jarvan IV,2,1,1
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,32:42,Trundle,0,1,3
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,SK Gaming,35:15,Gragas,2,4,4
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Heretics,37:50,Sejuani,1,2,11
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Fnatic,29:29,Vi,0,4,2
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Red,MAD Lions,40:19,Nocturne,2,3,8
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,29:37,Wukong,1,2,1
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Excel Esports,35:18,Jarvan IV,2,2,5
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,G2 Esports,35:25,Sejuani,2,5,6
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,G2 Esports,21:22,Lee Sin,0,4,2
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Win,Red,G2 Esports,27:53,Wukong,2,2,5
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team BDS,28:11,Wukong,1,5,6
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Team BDS,29:07,Trundle,2,5,4
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Win,Red,G2 Esports,28:02,Wukong,6,3,9
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,G2 Esports,31:33,Lee Sin,4,0,12
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,G2 Esports,30:36,Sejuani,1,4,6
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team Vitality,26:38,Xin Zhao,0,4,0
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team BDS,39:35,Vi,2,4,5
