Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,34:58,Viego,9,2,5
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,26:40,Sejuani,0,2,2
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,32:08,Sejuani,0,5,6
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Excel Esports,28:13,Poppy,1,0,6
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,34:36,Poppy,2,6,13
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Fnatic,34:47,Poppy,1,1,9
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Fnatic,32:35,Maokai,0,1,7
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Fnatic,31:03,Nautilus,2,0,11
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,MAD Lions,30:09,Poppy,9,0,10
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Astralis,34:20,Poppy,3,2,5
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Red,KOI (Spanish Team),35:15,Sejuani,1,1,10
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,33:36,Sejuani,0,2,11
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team BDS,26:26,Wukong,0,6,1
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Red,Excel Esports,37:21,Wukong,3,2,11
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team Vitality,30:55,Maokai,0,3,7
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,37:42,Kha'Zix,5,5,4
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,G2 Esports,23:46,Sejuani,3,6,7
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,G2 Esports,29:53,Viego,3,5,3
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team BDS,28:54,Wukong,0,2,2
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Team BDS,30:30,Wukong,4,4,2
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Heretics,32:20,Maokai,1,4,6
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Loss,Red,MAD Lions,34:50,Vi,3,4,5
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,G2 Esports,28:44,Elise,3,5,7
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,30:39,Sejuani,0,0,4
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,KOI (Spanish Team),36:30,Wukong,3,5,2
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Vitality,30:58,Wukong,4,4,2
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Astralis,24:14,Lee Sin,13,0,4
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Fnatic,31:49,Vi,3,0,10
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team BDS,36:05,Vi,0,1,9
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,MAD Lions,28:13,Sejuani,1,2,5
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Win,Blue,MAD Lions,33:30,Elise,2,4,10
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,MAD Lions,24:33,Wukong,1,5,4
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Win,Blue,MAD Lions,32:39,Sejuani,0,1,14
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,MAD Lions,32:13,Gragas,1,3,2
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team Vitality,24:02,Vi,4,0,10
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team Vitality,39:46,Maokai,1,4,13
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team Heretics,39:22,Vi,1,1,8
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team Heretics,29:23,Sejuani,3,0,5
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,KOI (Spanish Team),35:37,Amumu,2,3,5
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,KOI (Spanish Team),27:34,Maokai,0,4,2
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Fnatic,29:56,Sejuani,1,2,9
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Excel Esports,35:02,Maokai,1,0,7
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Loss,Red,Astralis,38:42,Vi,5,2,7
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Win,Blue,KOI (Spanish Team),29:38,Sejuani,1,0,4
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Win,Red,Team Vitality,31:08,Elise,2,2,7
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Win,Blue,G2 Esports,34:42,Elise,6,3,13
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Win,Red,Team Heretics,32:09,Sejuani,2,3,12
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team BDS,40:12,Kindred,1,4,2
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Loss,Red,MAD Lions,27:40,Vi,0,5,1
