Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Excel Esports,23:55,Leona,1,2,15
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,37:05,Braum,0,2,16
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,25:05,Rell,0,2,20
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,38:31,Milio,0,0,13
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Excel Esports,32:37,Leona,2,9,14
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,35:20,Braum,0,2,19
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,Excel Esports,28:55,Braum,0,7,6
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,31:11,Rell,1,3,31
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Team BDS,32:09,Nautilus,0,4,20
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team BDS,28:27,Rell,1,6,24
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Red,KOI (Spanish Team),28:25,Braum,0,0,14
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,KOI (Spanish Team),32:05,Nautilus,2,3,9
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Heretics,34:58,Milio,0,0,10
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,KOI (Spanish Team),28:25,Braum,0,1,7
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Red,Excel Esports,28:25,Braum,0,3,14
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,27:43,Braum,0,1,6
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,33:36,Braum,0,4,10
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,26:08,Lulu,0,1,10
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Fnatic,31:26,Milio,0,1,24
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,MAD Lions,40:10,Nami,1,6,15
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team BDS,31:47,Nami,3,1,17
2023-05-16,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,29:50,Braum,0,6,5
2023-05-16,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,36:39,Janna,0,2,12
2023-05-16,INT MSI 2023,13.8,Win,Blue,Bilibili Gaming,36:58,Janna,0,4,12
2023-05-16,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,29:49,Blitzcrank,3,8,7
2023-05-13,INT MSI 2023,13.8,Win,Blue,MAD Lions,25:54,Janna,1,2,9
2023-05-13,INT MSI 2023,13.8,Win,Blue,MAD Lions,28:33,Lulu,0,4,8
2023-05-13,INT MSI 2023,13.8,Win,Red,MAD Lions,22:56,Nautilus,2,3,16
2023-05-09,INT MSI 2023,13.8,Loss,Red,Gen.G,29:29,Soraka,0,2,8
2023-05-09,INT MSI 2023,13.8,Win,Blue,Gen.G,32:27,Rakan,5,3,10
2023-05-09,INT MSI 2023,13.8,Loss,Blue,Gen.G,19:47,Thresh,0,6,3
2023-05-09,INT MSI 2023,13.8,Loss,Red,Gen.G,27:27,Braum,0,7,5
2023-05-04,INT MSI 2023,13.8,Win,Red,PSG Talon,26:55,Lulu,3,3,22
2023-05-04,INT MSI 2023,13.8,Win,Blue,PSG Talon,40:26,Rakan,1,4,15
2023-05-02,INT MSI 2023,13.8,Win,Blue,LOUD,20:13,Lulu,1,1,13
2023-05-02,INT MSI 2023,13.8,Win,Blue,LOUD,32:47,Rell,0,6,14
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,27:15,Nautilus,2,3,4
