Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,37:33,Taliyah,5,2,8
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,30:03,Ahri,5,1,0
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,Excel Esports,39:14,LeBlanc,5,2,2
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,29:03,Jayce,4,2,1
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,29:22,Gragas,0,3,1
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,SK Gaming,30:09,Azir,1,6,1
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,27:05,Annie,3,4,5
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Excel Esports,38:30,Twisted Fate,0,2,8
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Fnatic,28:23,Neeko,2,6,1
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,Astralis,26:51,Gragas,4,0,13
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Blue,KOI (Spanish Team),40:19,Annie,4,7,8
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,G2 Esports,40:10,Ahri,2,4,15
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,29:56,Azir,5,0,3
2023-05-13,INT MSI 2023,13.8,Loss,Red,G2 Esports,25:54,Ahri,2,3,2
2023-05-13,INT MSI 2023,13.8,Loss,Red,G2 Esports,28:33,K'Sante,5,3,10
2023-05-13,INT MSI 2023,13.8,Loss,Blue,G2 Esports,22:56,Jayce,1,3,3
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,16:50,Twisted Fate,1,3,2
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,24:23,Lissandra,1,3,2
2023-05-10,INT MSI 2023,13.8,Loss,Blue,T1,33:29,Annie,1,8,12
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team BDS,28:03,Gragas,2,0,9
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team BDS,23:52,Gragas,2,1,6
