Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,G2 Esports,23:55,Rumble,1,6,0
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,37:05,Gnar,2,5,1
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,25:05,Ornn,0,3,1
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Fnatic,28:15,Gnar,10,5,7
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Fnatic,35:40,Rumble,2,3,0
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Fnatic,30:15,Rumble,9,2,12
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Fnatic,28:42,Gwen,5,1,12
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,38:31,Poppy,1,3,5
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,G2 Esports,32:37,Gnar,4,1,9
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,35:20,Kennen,0,7,6
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,G2 Esports,28:55,Gnar,4,2,10
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,31:11,Jayce,2,5,3
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,32:08,Poppy,2,1,9
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,SK Gaming,28:13,K'Sante,1,2,1
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,34:36,Gnar,5,3,5
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Red,MAD Lions,39:14,Rumble,3,2,9
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,MAD Lions,29:03,Rumble,3,1,9
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,28:26,Kennen,6,1,4
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,30:04,Sion,1,0,8
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,G2 Esports,28:25,K'Sante,1,2,2
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Red,MAD Lions,38:30,Sion,1,1,10
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team BDS,38:10,Sion,5,0,3
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Heretics,30:07,K'Sante,6,0,5
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,SK Gaming,37:21,K'Sante,1,3,2
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,32:57,Renekton,2,5,3
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Red,KOI (Spanish Team),35:18,Gnar,2,3,6
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team BDS,39:11,Olaf,2,6,1
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Astralis,21:51,K'Sante,0,2,0
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Red,KOI (Spanish Team),41:28,Malphite,2,0,7
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,SK Gaming,30:39,Sion,0,1,0
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Win,Blue,MAD Lions,35:02,Sion,2,2,8
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Heretics,37:31,K'Sante,5,5,8
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Red,G2 Esports,25:28,Gragas,2,4,1
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team Vitality,30:53,Renekton,1,6,1
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Fnatic,30:11,K'Sante,5,0,3
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Loss,Red,Team Vitality,54:07,Jax,5,6,8
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Loss,Red,SK Gaming,35:02,Renekton,2,5,1
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team Heretics,26:17,Ornn,1,4,3
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Astralis,31:24,K'Sante,0,3,4
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Fnatic,35:06,Renekton,3,2,2
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Loss,Red,MAD Lions,25:39,Gwen,1,4,3
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Win,Red,Team BDS,46:14,Jax,1,5,5
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,KOI (Spanish Team),40:27,Renekton,4,5,0
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,G2 Esports,30:27,K'Sante,5,5,2
