Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Excel Esports,28:15,Jax,7,4,8
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,35:40,Ornn,2,0,11
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,Excel Esports,30:15,Ornn,0,5,1
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Excel Esports,28:42,Rumble,0,5,4
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Team Heretics,26:16,Ornn,1,0,5
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Team Heretics,29:01,Rumble,3,2,9
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Team Heretics,30:09,Poppy,7,1,8
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,Team Heretics,31:02,K'Sante,1,4,4
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,34:58,Rumble,7,1,6
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,26:40,Gangplank,3,2,2
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,MAD Lions,37:33,Ornn,1,3,17
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,MAD Lions,30:03,Ornn,3,0,11
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,SK Gaming,34:47,K'Sante,2,1,2
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,SK Gaming,32:35,Jax,1,2,1
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Red,SK Gaming,31:03,Renekton,0,3,2
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Heretics,33:36,Olaf,4,2,9
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team BDS,42:57,Gragas,2,3,8
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,32:10,Poppy,4,0,6
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Red,MAD Lions,28:23,K'Sante,2,3,5
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,KOI (Spanish Team),29:29,Poppy,3,0,9
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,31:26,Malphite,1,5,4
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Excel Esports,32:57,K'Sante,1,2,7
