Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,G2 Esports,23:55,Xayah,2,6,1
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,37:05,Xayah,0,4,5
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,25:05,Xayah,1,4,1
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Fnatic,28:15,Kalista,8,3,9
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Fnatic,35:40,Tristana,2,3,0
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Fnatic,30:15,Kalista,5,0,9
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Fnatic,28:42,Ezreal,5,2,7
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,38:31,Varus,4,3,2
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,G2 Esports,32:37,Xayah,14,4,4
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,35:20,Kai'Sa,5,2,4
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,G2 Esports,28:55,Kai'Sa,7,0,12
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,G2 Esports,31:11,Kalista,6,8,6
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,32:08,Ashe,5,1,9
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,SK Gaming,28:13,Tristana,1,2,1
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,34:36,Kai'Sa,3,0,10
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Red,MAD Lions,39:14,Aphelios,7,1,5
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,MAD Lions,29:03,Kai'Sa,3,3,8
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,28:26,Tristana,6,1,9
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,30:04,Aphelios,5,0,7
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,G2 Esports,28:25,Xayah,3,3,2
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Red,MAD Lions,38:30,Draven,11,3,4
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team BDS,38:10,Xayah,5,2,7
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Heretics,30:07,Xayah,6,1,9
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,SK Gaming,37:21,Aphelios,4,3,5
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,32:57,Zeri,2,4,5
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Red,KOI (Spanish Team),35:18,Draven,7,2,3
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team BDS,39:11,Zeri,5,3,3
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Astralis,21:51,Jhin,1,3,4
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Red,KOI (Spanish Team),41:28,Lucian,2,6,4
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,SK Gaming,30:39,Zeri,0,1,0
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Win,Blue,MAD Lions,35:02,Xayah,8,0,5
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Heretics,37:31,Xayah,5,4,8
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Red,G2 Esports,25:28,Aphelios,6,4,2
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team Vitality,30:53,Caitlyn,2,3,1
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Fnatic,30:11,Zeri,3,0,2
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Loss,Red,Team Vitality,54:07,Varus,7,6,13
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Loss,Red,SK Gaming,35:02,Yasuo,1,3,1
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team Heretics,26:17,Varus,0,7,7
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Astralis,31:24,Draven,3,4,2
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Fnatic,35:06,Lucian,7,5,6
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Loss,Red,MAD Lions,25:39,Zeri,3,2,4
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Win,Red,Team BDS,46:14,Varus,3,6,7
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,KOI (Spanish Team),40:27,Lucian,5,5,4
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,G2 Esports,30:27,Varus,1,4,3
