Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Excel Esports,28:26,Ahri,1,4,3
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,33:57,Tristana,5,2,11
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,KOI (Spanish Team),32:42,Azir,0,1,1
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,32:10,Varus,2,2,2
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Astralis,34:30,Neeko,1,3,6
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,G2 Esports,26:08,Orianna,2,7,4
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team Heretics,33:03,LeBlanc,0,2,4
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,30:55,LeBlanc,5,1,7
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,MAD Lions,29:56,Ahri,2,2,1
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,29:05,Tristana,3,3,2
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,37:14,Syndra,0,4,4
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,26:50,Tristana,10,1,6
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,27:47,Cassiopeia,2,8,2
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team BDS,35:14,Sylas,5,3,3
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,Team BDS,33:14,Annie,0,6,7
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team BDS,36:33,Ahri,0,3,0
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,23:11,Annie,7,0,11
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,30:25,Annie,2,4,19
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Red,MAD Lions,29:13,Ahri,7,0,8
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,MAD Lions,33:03,Yone,6,0,8
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Red,KOI (Spanish Team),26:38,Aurelion Sol,4,0,7
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Team Heretics,37:56,Sylas,2,5,8
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team BDS,41:31,Gragas,0,3,6
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Astralis,30:17,Lissandra,0,3,9
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Red,G2 Esports,30:59,Aurelion Sol,4,4,1
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Win,Blue,SK Gaming,30:58,Cassiopeia,2,1,4
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Win,Red,Fnatic,23:29,Azir,0,1,10
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,30:53,Annie,2,0,11
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,MAD Lions,28:05,Aurelion Sol,5,0,7
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,SK Gaming,24:02,Tristana,0,4,1
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,SK Gaming,39:46,Sylas,1,3,1
2023-02-13,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,KOI (Spanish Team),26:34,Yone,4,3,3
2023-02-13,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,KOI (Spanish Team),33:19,Jayce,1,2,2
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team Heretics,39:41,Azir,3,5,9
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,Team Heretics,26:30,Kassadin,0,1,0
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team Heretics,26:56,Syndra,4,1,7
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Excel Esports,54:07,Taliyah,8,7,15
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Win,Red,Team BDS,44:34,Azir,6,5,11
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Loss,Red,KOI (Spanish Team),33:53,LeBlanc,2,5,0
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Win,Red,G2 Esports,36:51,Cassiopeia,4,1,9
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,SK Gaming,31:08,Tristana,1,3,1
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Astralis,31:32,Syndra,5,2,5
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Win,Red,MAD Lions,29:23,Azir,11,2,6
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Team Heretics,28:22,Azir,9,2,9
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Fnatic,33:03,Ryze,1,4,11
