Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Excel Esports,28:26,Gwen,2,3,1
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,33:57,Renekton,5,8,10
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,KOI (Spanish Team),32:42,Renekton,3,1,1
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,32:10,Renekton,0,3,1
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Astralis,34:30,K'Sante,1,1,3
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,G2 Esports,26:08,Gragas,2,0,1
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team Heretics,33:03,Gwen,5,2,1
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,30:55,Renekton,4,1,6
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,MAD Lions,29:56,Gwen,0,5,1
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,29:05,Rumble,1,3,4
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,37:14,Kennen,1,4,2
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,26:50,Rumble,4,3,9
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,27:47,K'Sante,1,3,0
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team BDS,35:14,Gnar,0,3,5
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,Team BDS,33:14,Kennen,4,5,0
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team BDS,36:33,Akshan,0,3,0
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,23:11,Jax,0,3,9
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,30:25,Kled,8,4,11
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Red,MAD Lions,29:13,Olaf,5,2,7
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,MAD Lions,33:03,Malphite,1,1,9
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Red,KOI (Spanish Team),26:38,Jayce,3,1,6
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Team Heretics,37:56,Malphite,3,4,4
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team BDS,41:31,Renekton,3,0,7
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Astralis,30:17,Gwen,6,3,2
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Red,G2 Esports,30:59,Camille,3,6,5
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Win,Blue,SK Gaming,30:58,Jax,4,3,5
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Win,Red,Fnatic,23:29,Camille,5,0,9
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,30:53,Jayce,8,2,4
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,MAD Lions,28:05,Darius,4,3,4
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,SK Gaming,24:02,K'Sante,1,2,1
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,SK Gaming,39:46,Gangplank,3,3,6
2023-02-13,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,KOI (Spanish Team),26:34,Olaf,4,4,6
2023-02-13,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,KOI (Spanish Team),33:19,Gwen,1,3,3
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team Heretics,39:41,Gragas,4,4,10
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,Team Heretics,26:30,Jax,1,3,1
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team Heretics,26:56,Sion,1,0,6
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Excel Esports,54:07,Gragas,7,3,12
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Win,Red,Team BDS,44:34,Gwen,10,2,4
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Loss,Red,KOI (Spanish Team),33:53,Renekton,1,3,2
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Win,Red,G2 Esports,36:51,Gwen,8,2,6
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,SK Gaming,31:08,Ornn,0,1,3
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Astralis,31:32,Gnar,2,3,5
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Win,Red,MAD Lions,29:23,K'Sante,3,2,5
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Team Heretics,28:22,Jax,3,3,10
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Fnatic,33:03,Jax,6,3,3
