Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,34:58,Cassiopeia,2,4,9
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Fnatic,26:40,Tristana,0,1,2
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,32:08,Syndra,4,4,4
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Excel Esports,28:13,Akali,5,0,2
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Excel Esports,34:36,Tristana,8,5,3
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Fnatic,34:47,Akali,4,2,7
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Fnatic,32:35,Tristana,1,1,4
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Fnatic,31:03,Azir,3,0,7
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,MAD Lions,30:09,Sylas,10,0,10
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Astralis,34:20,Neeko,0,4,7
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Red,KOI (Spanish Team),35:15,Akali,4,3,1
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,33:36,Azir,7,3,2
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team BDS,26:26,LeBlanc,0,5,1
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Red,Excel Esports,37:21,Lissandra,3,1,10
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team Vitality,30:55,Annie,5,5,1
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,37:42,Ahri,3,4,7
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,G2 Esports,23:46,Veigar,6,4,3
2023-04-15,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,G2 Esports,29:53,Lissandra,1,4,6
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team BDS,28:54,Ahri,3,2,2
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Team BDS,30:30,Ahri,1,2,5
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Heretics,32:20,Azir,4,5,2
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Loss,Red,MAD Lions,34:50,Sylas,1,4,4
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,G2 Esports,28:44,Akali,4,4,2
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,30:39,Akali,3,0,2
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,KOI (Spanish Team),36:30,Azir,2,6,2
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Vitality,30:58,Ahri,0,1,3
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Astralis,24:14,Annie,2,2,12
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Fnatic,31:49,Taliyah,8,0,5
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team BDS,36:05,Akali,8,1,3
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,MAD Lions,28:13,Zoe,2,3,2
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Win,Blue,MAD Lions,33:30,Azir,7,0,7
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,MAD Lions,24:33,Azir,0,6,2
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Win,Blue,MAD Lions,32:39,Akali,8,0,7
2023-02-24,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,MAD Lions,32:13,Jayce,0,2,2
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team Vitality,24:02,Ahri,7,0,6
2023-02-19,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team Vitality,39:46,Cassiopeia,4,0,6
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team Heretics,39:22,Taliyah,6,0,6
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team Heretics,29:23,Sylas,4,0,3
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,KOI (Spanish Team),35:37,Azir,1,6,3
2023-02-11,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,KOI (Spanish Team),27:34,Jayce,1,4,0
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Fnatic,29:56,Taliyah,2,1,9
