Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,Team Heretics,29:10,Gragas,2,2,3
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,38:39,Ivern,1,2,8
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,G2 Esports,32:09,Gragas,3,6,6
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,G2 Esports,28:27,Sejuani,5,3,8
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Team Heretics,26:36,Gragas,1,2,8
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team Heretics,26:18,Lillia,2,1,9
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,29:33,Sejuani,0,0,4
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Blue,MAD Lions,29:22,Maokai,1,0,7
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,33:57,Sejuani,3,4,9
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,42:57,Poppy,0,3,1
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,32:41,Sejuani,0,5,4
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Excel Esports,38:10,Sejuani,0,3,5
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,SK Gaming,26:26,Sejuani,6,0,8
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Astralis,25:38,Gragas,0,3,2
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,KOI (Spanish Team),29:37,Gragas,2,0,4
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,31:47,Viego,0,4,5
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,28:03,Wukong,0,2,0
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,23:52,Vi,0,2,3
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,29:22,Wukong,1,3,2
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,MAD Lions,30:59,Maokai,1,2,15
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,33:31,Vi,2,4,12
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,Team Vitality,35:14,Maokai,5,3,13
