Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Excel Esports,28:15,Alistar,1,5,9
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,35:40,Rell,0,2,10
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,Excel Esports,30:15,Braum,0,5,3
2023-07-29,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Excel Esports,28:42,Braum,0,5,7
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Team Heretics,26:16,Leona,3,3,10
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Team Heretics,29:01,Alistar,1,2,14
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Team Heretics,30:09,Nautilus,1,5,15
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,Team Heretics,31:02,Alistar,0,3,6
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,34:58,Nautilus,0,6,15
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,SK Gaming,26:40,Rakan,0,1,11
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,MAD Lions,37:33,Thresh,0,3,21
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,MAD Lions,30:03,Braum,0,2,13
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,SK Gaming,34:47,Nautilus,2,6,4
2023-07-15,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,SK Gaming,32:35,Braum,0,1,1
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Red,SK Gaming,31:03,Yuumi,0,3,11
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Heretics,33:36,Lulu,0,2,13
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team BDS,42:57,Yuumi,0,1,14
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,32:10,Lulu,3,0,15
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Red,MAD Lions,28:23,Milio,0,1,15
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,KOI (Spanish Team),29:29,Rakan,0,2,17
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,31:26,Nami,0,6,7
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Excel Esports,32:57,Yuumi,0,1,17
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,25:54,Thresh,0,3,17
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,G2 Esports,35:25,Lulu,1,3,5
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,G2 Esports,21:22,Nami,1,3,1
2023-04-16,EMEA LEC 2023 Spring Groups,13.6,Win,Red,G2 Esports,27:53,Lulu,0,2,11
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Blue,Team BDS,28:11,Annie,0,7,8
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,Team BDS,29:07,Thresh,1,6,7
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Win,Red,G2 Esports,28:02,Thresh,0,2,19
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,G2 Esports,31:33,Lulu,0,2,17
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Loss,Red,G2 Esports,30:36,Leona,2,7,5
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team Vitality,26:38,Nautilus,1,5,0
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team BDS,39:35,Ashe,1,6,3
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Excel Esports,41:28,Lulu,1,3,11
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Fnatic,31:50,Taric,0,5,3
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Win,Red,SK Gaming,36:30,Rakan,0,4,12
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Win,Blue,G2 Esports,31:06,Rakan,1,5,10
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Red,MAD Lions,30:12,Soraka,1,3,4
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Team Heretics,46:53,Nami,2,5,14
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Astralis,28:23,Renata Glasc,0,3,3
2023-02-25,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Blue,MAD Lions,29:16,Karma,1,4,16
2023-02-25,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Blue,MAD Lions,31:05,Janna,0,3,7
2023-02-25,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,MAD Lions,35:08,Heimerdinger,1,3,5
2023-02-25,EMEA LEC 2023 Winter Playoffs,13.1,Win,Blue,MAD Lions,27:33,Leona,0,3,15
2023-02-20,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,G2 Esports,38:58,Kalista,5,6,8
2023-02-20,EMEA LEC 2023 Winter Playoffs,13.1,Win,Blue,G2 Esports,26:29,Heimerdinger,2,3,9
2023-02-20,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Blue,G2 Esports,23:25,Nami,0,4,1
2023-02-20,EMEA LEC 2023 Winter Playoffs,13.1,Loss,Red,G2 Esports,28:50,Nami,1,4,4
2023-02-13,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Team Vitality,26:34,Ashe,1,1,21
2023-02-13,EMEA LEC 2023 Winter Groups,13.1,Win,Red,Team Vitality,33:19,Soraka,3,1,9
