Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Excel Esports,28:26,Aphelios,0,4,4
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team BDS,33:57,Aphelios,6,2,8
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,KOI (Spanish Team),32:42,Zeri,0,1,2
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,32:10,Xayah,0,1,3
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Astralis,34:30,Zeri,1,2,5
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,G2 Esports,26:08,Xayah,1,2,4
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Team Heretics,33:03,Aphelios,2,2,6
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,30:55,Xayah,5,1,4
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,MAD Lions,29:56,Lucian,2,1,2
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,29:05,Aphelios,3,2,2
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,37:14,Aphelios,3,2,2
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,26:50,Aphelios,6,0,6
2023-04-22,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,27:47,Lucian,0,1,3
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team BDS,35:14,Zeri,3,1,4
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,Team BDS,33:14,Xayah,1,0,4
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,Team BDS,36:33,Jinx,0,0,0
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,23:11,Zeri,6,0,6
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Red,Astralis,30:25,Draven,7,4,7
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Red,MAD Lions,29:13,Xayah,2,1,12
2023-04-08,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,MAD Lions,33:03,Zeri,9,0,6
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Red,KOI (Spanish Team),26:38,Zeri,5,0,5
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Team Heretics,37:56,Zeri,11,1,6
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team BDS,41:31,Lucian,6,2,5
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Astralis,30:17,Kai'Sa,4,2,2
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Loss,Red,G2 Esports,30:59,Zeri,2,2,0
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Win,Blue,SK Gaming,30:58,Lucian,3,1,7
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Win,Red,Fnatic,23:29,Xayah,5,0,9
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Red,Excel Esports,30:53,Xayah,9,0,7
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,MAD Lions,28:05,Caitlyn,7,0,7
