Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Fnatic,26:16,Ahri,4,3,3
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,Fnatic,29:01,LeBlanc,3,2,0
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Fnatic,30:09,Ahri,2,2,7
2023-07-28,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Fnatic,31:02,Yone,8,1,5
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Team BDS,29:10,Ahri,5,0,10
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team BDS,38:39,Kai'Sa,9,2,2
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,KOI (Spanish Team),28:36,Ahri,6,3,3
2023-07-22,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,KOI (Spanish Team),41:35,Ahri,6,1,9
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,Team BDS,26:36,Tristana,5,3,2
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team BDS,26:18,Tristana,2,3,2
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team BDS,29:33,Kai'Sa,7,0,2
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,G2 Esports,34:58,Kai'Sa,2,2,4
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Fnatic,33:36,LeBlanc,6,2,2
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Red,MAD Lions,27:05,LeBlanc,10,0,7
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team BDS,32:41,Neeko,4,0,5
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,KOI (Spanish Team),37:50,Cassiopeia,1,3,3
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Excel Esports,30:07,Taliyah,0,4,5
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,33:03,Kai'Sa,5,2,4
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Red,Astralis,29:44,Ahri,3,2,13
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Red,SK Gaming,37:42,Azir,6,3,9
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,SK Gaming,30:39,Syndra,0,1,0
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Win,Blue,MAD Lions,35:02,Jayce,6,3,9
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Loss,Red,Team Heretics,37:31,Yone,3,4,8
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Loss,Red,G2 Esports,25:28,Ahri,2,6,5
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,Team Vitality,30:53,Cassiopeia,0,3,1
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Fnatic,30:11,Viktor,1,0,7
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Loss,Red,Team Vitality,54:07,Ryze,4,4,13
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Loss,Red,SK Gaming,35:02,Viktor,1,2,2
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team Heretics,26:17,Jayce,6,4,2
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Astralis,31:24,Taliyah,2,4,2
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Fnatic,35:06,Sylas,0,3,7
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Loss,Red,MAD Lions,25:39,Akali,1,2,5
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Win,Red,Team BDS,46:14,Twisted Fate,1,2,7
2023-01-22,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,KOI (Spanish Team),40:27,Ahri,3,5,7
2023-01-21,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,G2 Esports,30:27,Syndra,3,4,2
