Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Win,Red,Excel Esports,23:55,Kha'Zix,8,1,11
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,37:05,Rell,5,0,16
2023-07-30,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,25:05,Sejuani,2,0,18
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,38:31,Sejuani,6,2,10
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Red,Excel Esports,32:37,Trundle,4,3,11
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,35:20,Maokai,1,3,14
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Loss,Blue,Excel Esports,28:55,Rell,1,6,8
2023-07-24,EMEA LEC 2023 Summer Playoffs,13.13,Win,Blue,Excel Esports,31:11,Trundle,7,4,18
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Team BDS,32:09,Ivern,3,1,18
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team BDS,28:27,Ivern,4,0,21
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Red,KOI (Spanish Team),28:25,Trundle,2,1,10
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,KOI (Spanish Team),32:05,Rell,2,2,12
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Heretics,34:58,Trundle,2,3,9
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,KOI (Spanish Team),28:25,Kha'Zix,7,1,1
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Win,Red,Excel Esports,28:25,Trundle,1,0,9
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Astralis,27:43,Maokai,1,2,5
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Win,Blue,SK Gaming,33:36,Maokai,2,4,6
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,Team Vitality,26:08,Trundle,6,0,9
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Fnatic,31:26,Maokai,3,2,14
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Loss,Red,MAD Lions,40:10,Nocturne,1,6,9
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team BDS,31:47,Maokai,4,1,13
2023-05-16,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,29:50,Gragas,2,3,2
2023-05-16,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,36:39,Viego,8,3,4
2023-05-16,INT MSI 2023,13.8,Win,Blue,Bilibili Gaming,36:58,Maokai,1,1,12
2023-05-16,INT MSI 2023,13.8,Loss,Blue,Bilibili Gaming,29:49,Maokai,3,5,8
2023-05-13,INT MSI 2023,13.8,Win,Blue,MAD Lions,25:54,Kindred,6,1,5
2023-05-13,INT MSI 2023,13.8,Win,Blue,MAD Lions,28:33,Bel'Veth,6,5,7
2023-05-13,INT MSI 2023,13.8,Win,Red,MAD Lions,22:56,Kha'Zix,3,1,11
2023-05-09,INT MSI 2023,13.8,Loss,Red,Gen.G,29:29,Poppy,1,3,5
2023-05-09,INT MSI 2023,13.8,Win,Blue,Gen.G,32:27,Poppy,1,3,14
2023-05-09,INT MSI 2023,13.8,Loss,Blue,Gen.G,19:47,Viego,4,2,1
2023-05-09,INT MSI 2023,13.8,Loss,Red,Gen.G,27:27,Nidalee,3,2,4
2023-05-04,INT MSI 2023,13.8,Win,Red,PSG Talon,26:55,Viego,6,3,18
2023-05-04,INT MSI 2023,13.8,Win,Blue,PSG Talon,40:26,Kha'Zix,9,5,4
2023-05-02,INT MSI 2023,13.8,Win,Blue,LOUD,20:13,Nidalee,10,0,7
2023-05-02,INT MSI 2023,13.8,Win,Blue,LOUD,32:47,Nidalee,8,2,15
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,27:15,Jarvan IV,0,4,7
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,30:42,Maokai,7,3,5
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,25:34,Bel'Veth,3,8,3
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,32:41,Maokai,1,1,2
2023-04-21,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,27:42,Viego,5,0,11
