Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,Team Heretics,29:10,Jayce,1,2,3
2023-07-23,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,38:39,Cassiopeia,1,1,5
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Blue,G2 Esports,32:09,Cassiopeia,3,5,4
2023-07-17,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,G2 Esports,28:27,Jayce,1,5,7
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Red,Team Heretics,26:36,Jayce,7,1,7
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Win,Blue,Team Heretics,26:18,Jayce,5,0,7
2023-07-16,EMEA LEC 2023 Summer Groups,13.13,Loss,Red,Team Heretics,29:33,Tristana,4,2,1
2023-07-03,EMEA LEC 2023 Summer Season,13.11,Win,Blue,MAD Lions,29:22,Azir,6,0,3
2023-07-02,EMEA LEC 2023 Summer Season,13.11,Win,Blue,Team Vitality,33:57,Azir,6,3,11
2023-07-01,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Fnatic,42:57,Azir,1,3,1
2023-06-26,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Team Heretics,32:41,Syndra,1,5,4
2023-06-25,EMEA LEC 2023 Summer Season,13.11,Loss,Red,Excel Esports,38:10,Cassiopeia,4,2,2
2023-06-24,EMEA LEC 2023 Summer Season,13.11,Win,Red,SK Gaming,26:26,Syndra,4,1,10
2023-06-19,EMEA LEC 2023 Summer Season,13.11,Loss,Blue,Astralis,25:38,Neeko,1,5,1
2023-06-18,EMEA LEC 2023 Summer Season,13.11,Win,Blue,KOI (Spanish Team),29:37,Neeko,2,0,3
2023-06-17,EMEA LEC 2023 Summer Season,13.11,Loss,Red,G2 Esports,31:47,Annie,1,4,5
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,28:03,Syndra,0,2,0
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Blue,MAD Lions,23:52,Cassiopeia,1,1,3
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Loss,Red,MAD Lions,29:22,Syndra,0,4,1
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,MAD Lions,30:59,Cassiopeia,9,2,7
2023-04-23,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,MAD Lions,33:31,Cassiopeia,6,2,10
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,Team Vitality,35:14,Orianna,2,1,16
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Win,Red,Team Vitality,33:14,Cassiopeia,10,1,8
2023-04-17,EMEA LEC 2023 Spring Playoffs,13.6,Win,Blue,Team Vitality,36:33,Orianna,1,0,4
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Red,KOI (Spanish Team),28:11,Cassiopeia,11,1,7
2023-04-10,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,KOI (Spanish Team),29:07,Syndra,7,2,13
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Win,Red,SK Gaming,28:54,Cassiopeia,5,1,1
2023-04-09,EMEA LEC 2023 Spring Groups,13.6,Win,Blue,SK Gaming,30:30,Syndra,3,2,4
2023-03-27,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Excel Esports,39:11,Azir,2,4,11
2023-03-26,EMEA LEC 2023 Spring Season,13.4,Win,Red,KOI (Spanish Team),39:35,Azir,7,2,10
2023-03-25,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team Vitality,41:31,Azir,6,3,3
2023-03-20,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,G2 Esports,34:29,Akali,3,3,3
2023-03-19,EMEA LEC 2023 Spring Season,13.4,Win,Blue,Astralis,34:27,Cassiopeia,0,3,9
2023-03-18,EMEA LEC 2023 Spring Season,13.4,Win,Red,Fnatic,34:02,Azir,2,1,10
2023-03-13,EMEA LEC 2023 Spring Season,13.4,Win,Red,Team Heretics,31:30,Viktor,4,2,6
2023-03-12,EMEA LEC 2023 Spring Season,13.4,Win,Blue,MAD Lions,32:07,Viktor,5,1,10
2023-03-11,EMEA LEC 2023 Spring Season,13.4,Loss,Blue,SK Gaming,36:05,Gragas,0,2,1
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Loss,Blue,Astralis,28:45,Azir,0,2,1
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,Astralis,39:02,Kassadin,3,2,2
2023-02-18,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,Astralis,36:11,Kassadin,9,0,6
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,G2 Esports,22:55,Ryze,1,4,3
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Win,Blue,G2 Esports,36:26,Azir,8,1,10
2023-02-12,EMEA LEC 2023 Winter Groups,13.1,Loss,Red,G2 Esports,31:05,Ryze,2,4,5
2023-02-06,EMEA LEC 2023 Winter Season,13.1,Win,Blue,Team Heretics,37:53,Azir,5,2,8
2023-02-05,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Team Vitality,44:34,Akali,5,5,8
2023-02-04,EMEA LEC 2023 Winter Season,13.1,Loss,Red,G2 Esports,31:26,Sylas,2,2,1
2023-01-30,EMEA LEC 2023 Winter Season,13.1,Win,Blue,MAD Lions,39:53,Azir,6,2,3
2023-01-29,EMEA LEC 2023 Winter Season,13.1,Win,Red,Astralis,31:51,Sylas,6,1,8
2023-01-28,EMEA LEC 2023 Winter Season,13.1,Win,Red,Fnatic,38:08,Viktor,5,2,8
2023-01-23,EMEA LEC 2023 Winter Season,13.1,Loss,Blue,Excel Esports,46:14,Akali,6,3,4
