Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Red,HELL PIGS,38:31,Maokai,1,4,10
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,27:38,Sejuani,0,1,8
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,36:46,Maokai,6,4,12
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Blue,Deep Cross Gaming,40:03,Viego,4,6,10
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,23:40,Sejuani,2,3,3
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,Frank Esports,24:07,Nocturne,1,4,1
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,30:08,Viego,9,2,9
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:25,Sejuani,0,3,6
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,26:13,Nidalee,10,0,11
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,34:01,Sejuani,1,4,4
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,28:11,Viego,0,6,2
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,25:27,Sejuani,0,4,6
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,24:04,Maokai,0,3,16
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,28:32,Sejuani,2,4,2
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,24:53,Wukong,4,4,1
