Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Red,J Team,24:08,Viego,2,1,1
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Blue,HELL PIGS,26:48,Maokai,2,4,5
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,PSG Talon,20:43,Maokai,0,7,1
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,Beyond Gaming,22:57,Viego,4,6,0
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,28:58,Vi,3,4,6
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,39:18,Rell,2,7,18
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,23:25,Wukong,1,3,2
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,29:04,Sejuani,2,3,5
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Blue,West Point Esports Philippines,26:13,Wukong,1,5,4
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,22:41,Poppy,0,5,2
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,Deep Cross Gaming,21:21,Sejuani,1,6,4
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,Frank Esports,22:26,Wukong,2,3,2
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Blue,CTBC Flying Oyster,22:24,Maokai,0,5,1
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,26:00,Maokai,0,1,15
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,21:60,Wukong,0,4,3
