Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Red,Frank Esports,37:02,Zeri,8,0,7
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,24:35,Aphelios,7,2,8
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,J Team,26:49,Varus,0,1,1
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,22:57,Tristana,2,0,9
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,36:37,Xayah,0,1,9
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:34,Xayah,1,2,5
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Deep Cross Gaming,35:01,Varus,4,2,9
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,33:00,Ashe,2,1,13
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Blue,J Team,35:59,Xayah,5,0,7
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,22:41,Varus,2,0,10
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Blue,PSG Talon,30:03,Kai'Sa,14,0,3
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,37:49,Kai'Sa,4,3,5
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Red,HELL PIGS,32:05,Xayah,14,0,3
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,28:32,Kai'Sa,6,2,8
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,23:54,Kai'Sa,9,0,8
2023-03-26,CN LPL 2023 Spring,13.5,Loss,Red,ThunderTalk Gaming,42:02,Zeri,3,5,3
2023-03-26,CN LPL 2023 Spring,13.5,Loss,Blue,ThunderTalk Gaming,43:24,Zeri,5,5,3
2023-03-17,CN LPL 2023 Spring,13.5,Win,Red,FunPlus Phoenix,30:27,Aphelios,0,0,12
2023-03-17,CN LPL 2023 Spring,13.5,Win,Blue,FunPlus Phoenix,37:49,Aphelios,11,0,9
2023-03-15,CN LPL 2023 Spring,13.5,Loss,Red,LNG Esports,27:12,Kai'Sa,2,3,5
2023-03-15,CN LPL 2023 Spring,13.5,Loss,Blue,LNG Esports,25:10,Aphelios,0,2,0
2023-03-15,CN LPL 2023 Spring,13.5,Win,Blue,LNG Esports,32:23,Zeri,5,4,8
