Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Blue,Impunity,24:08,Lucian,5,4,7
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,Frank Esports,33:60,Varus,2,5,3
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,Beyond Gaming,26:49,Ashe,5,0,5
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,CTBC Flying Oyster,37:38,Xayah,6,2,7
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,23:40,Lucian,8,2,8
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,Deep Cross Gaming,24:56,Aphelios,1,2,9
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Frank Esports,23:39,Aphelios,4,2,5
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,21:43,Lucian,11,2,6
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Red,Beyond Gaming,35:59,Ashe,4,3,5
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Red,Deep Cross Gaming,31:00,Ashe,5,0,4
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,CTBC Flying Oyster,37:55,Jinx,10,2,3
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,25:27,Ashe,1,4,13
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,30:41,Aphelios,0,2,1
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Red,HELL PIGS,23:23,Jinx,4,1,7
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,21:60,Aphelios,5,1,8
2023-03-11,PCS PCS 2023 Spring,13.4,Win,Red,PSG Talon,38:20,Zeri,4,2,5
2023-03-10,PCS PCS 2023 Spring,13.4,Loss,Red,CTBC Flying Oyster,30:50,Zeri,0,1,2
2023-03-09,PCS PCS 2023 Spring,13.4,Win,Blue,Dewish Team,29:24,Caitlyn,7,3,4
2023-03-05,PCS PCS 2023 Spring,13.4,Win,Red,Impunity,31:26,Zeri,7,0,12
2023-03-04,PCS PCS 2023 Spring,13.4,Loss,Blue,Beyond Gaming,30:55,Sivir,0,4,1
2023-03-03,PCS PCS 2023 Spring,13.4,Win,Blue,SEM9 WPE,32:08,Varus,11,1,7
2023-02-26,PCS PCS 2023 Spring,13.3,Loss,Blue,HELL PIGS,36:27,Xayah,0,3,3
2023-02-25,PCS PCS 2023 Spring,13.3,Loss,Blue,Frank Esports,28:10,Sivir,1,6,2
2023-02-24,PCS PCS 2023 Spring,13.3,Loss,Red,Deep Cross Gaming,29:29,Sivir,0,5,1
2023-02-19,PCS PCS 2023 Spring,13.3,Loss,Red,PSG Talon,40:04,Sivir,2,5,2
2023-02-18,PCS PCS 2023 Spring,13.3,Loss,Red,CTBC Flying Oyster,30:23,Varus,1,5,5
2023-02-17,PCS PCS 2023 Spring,13.3,Win,Red,Impunity,29:52,Zeri,6,1,5
2023-02-12,PCS PCS 2023 Spring,13.1,Loss,Red,Beyond Gaming,33:08,Varus,1,6,5
2023-02-11,PCS PCS 2023 Spring,13.1,Win,Blue,SEM9 WPE,27:17,Lucian,3,1,8
2023-02-10,PCS PCS 2023 Spring,13.1,Win,Blue,HELL PIGS,31:46,Zeri,6,0,8
2023-02-05,PCS PCS 2023 Spring,13.1,Loss,Red,Frank Esports,34:20,Zeri,0,3,3
2023-02-04,PCS PCS 2023 Spring,13.1,Win,Red,Dewish Team,26:46,Lucian,5,2,12
2023-02-03,PCS PCS 2023 Spring,13.1,Loss,Blue,Deep Cross Gaming,34:40,Lucian,1,5,3
